Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.044,0.0,0.044,0.0,0.044,100.156,100.46,100.472,100.59,201.05,0,0,0.8511,1.0,-,,
2,unknown,0,0,2,1,0,0.0549,0.0,0.0549,0.0,0.0549,100.201,100.49,100.317,100.44,200.93,0,0,0.8511,1.0,-,,
3,unknown,0,0,3,1,0,0.0989,0.0,0.0989,0.0,0.0989,100.062,100.48,100.329,100.44,200.93,0,0,0.8511,1.0,-,,
4,unknown,0,0,4,1,0,0.033,0.0,0.033,0.0,0.033,100.152,100.44,100.221,100.36,200.8,0,0,0.8511,1.0,-,,
5,unknown,0,0,5,1,0,0.0659,0.011,0.0769,0.0,0.0769,100.334,100.78,100.023,100.14,200.92,0,0,0.8511,1.0,-,,
6,unknown,0,0,6,1,0,0.0549,0.0,0.0549,0.0,0.0549,100.108,100.41,101.706,101.83,202.24,0,0,0.8511,1.0,-,,
7,unknown,0,0,7,1,0,0.0769,0.0,0.0769,0.022,0.0989,100.012,100.5,101.659,101.77,202.27,0,0,0.8511,1.0,-,,
8,unknown,0,0,8,1,0,0.033,0.0,0.033,0.011,0.044,100.092,100.43,100.051,100.17,200.61,0,0,0.8511,1.0,-,,
9,unknown,0,0,9,1,0,0.0879,0.011,0.0989,0.0,0.0989,100.093,100.54,100.062,100.18,200.71,0,0,0.8511,1.0,-,,
10,unknown,0,0,10,1,0,0.0549,0.0,0.0549,0.0,0.0549,100.057,100.41,100.122,100.25,200.66,0,0,0.8511,1.0,-,,
11,unknown,0,0,11,1,0,0.0769,0.011,0.0879,0.0,0.0879,100.042,100.5,100.216,100.33,200.84,0,0,0.8511,1.0,-,,
12,unknown,0,0,12,1,0,0.044,0.0,0.044,0.0,0.044,100.023,100.32,100.669,100.79,201.11,0,0,0.8511,1.0,-,,
13,unknown,0,0,13,1,0,0.0769,0.011,0.0879,0.0,0.0879,100.114,100.56,100.074,100.19,200.76,0,0,0.8511,1.0,-,,
14,unknown,0,0,14,1,0,0.0549,0.0,0.0549,0.0,0.0549,100.195,100.57,100.069,100.22,200.8,0,0,0.8511,1.0,-,,
15,unknown,0,0,15,1,0,0.0769,0.011,0.0879,0.011,0.0989,100.089,100.54,100.425,100.58,201.13,0,0,0.8511,1.0,-,,
16,unknown,0,0,16,1,0,0.044,0.0,0.044,0.0,0.044,100.289,100.57,100.097,100.22,200.79,0,0,0.8511,1.0,-,,
17,unknown,0,0,17,1,0,0.0549,0.022,0.0769,0.011,0.0879,100.063,100.52,100.366,100.48,201.01,0,0,0.8511,1.0,-,,
18,unknown,0,0,18,1,0,0.033,0.0,0.033,0.0,0.033,100.377,100.65,100.074,100.23,200.87,0,0,0.8511,1.0,-,,
