Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.344,0.0,0.344,0.024,0.368,101.595,104.21,100.911,101.11,205.32,0,0,0.8482,1.0,-,,
2,unknown,0,0,2,1,0,0.136,0.0,0.136,0.0,0.136,101.561,104.74,100.097,100.46,205.21,0,0,0.8482,1.0,-,,
3,unknown,0,0,3,1,0,0.336,0.0,0.336,0.016,0.352,100.824,103.74,100.845,101.11,204.85,0,0,0.8482,1.0,-,,
4,unknown,0,0,4,1,0,0.152,0.0,0.152,0.024,0.176,100.888,103.89,101.575,101.91,205.8,0,0,0.8482,1.0,-,,
5,unknown,0,0,5,1,0,0.104,0.0,0.104,0.0,0.104,102.221,104.47,102.73,103.13,207.6,0,0,0.8482,1.0,-,,
6,unknown,0,0,6,1,0,0.312,0.0,0.312,0.008,0.32,101.124,103.77,100.821,101.06,204.83,0,0,0.8482,1.0,-,,
7,unknown,0,0,7,1,0,0.16,0.0,0.16,0.0,0.16,101.702,104.42,100.867,101.22,205.64,0,0,0.8482,1.0,-,,
8,unknown,0,0,8,1,0,0.256,0.0,0.256,0.016,0.272,101.941,104.93,101.287,101.57,206.5,0,0,0.8482,1.0,-,,
9,unknown,0,0,9,1,0,0.12,0.0,0.12,0.0,0.12,102.654,104.45,100.586,100.97,205.41,0,0,0.8482,1.0,-,,
10,unknown,0,0,10,1,0,0.28,0.0,0.28,0.024,0.304,100.643,103.7,101.908,102.16,205.86,0,0,0.8482,1.0,-,,
11,unknown,0,0,11,1,0,0.216,0.0,0.216,0.008,0.224,101.571,104.32,102.892,103.27,207.58,0,0,0.8482,1.0,-,,
12,unknown,0,0,12,1,0,0.144,0.0,0.144,0.0,0.144,101.665,103.99,102.806,103.27,207.25,0,0,0.8482,1.0,-,,
13,unknown,0,0,13,1,0,0.312,0.0,0.312,0.008,0.32,102.065,104.99,100.275,100.55,205.54,0,0,0.8482,1.0,-,,
14,unknown,0,0,14,1,0,0.056,0.0,0.056,0.008,0.064,101.79,104.36,100.13,100.63,204.99,0,0,0.8482,1.0,-,,
15,unknown,0,0,15,1,0,0.112,0.0,0.112,0.0,0.112,100.804,103.25,102.046,102.57,205.82,0,0,0.8482,1.0,-,,
16,unknown,0,0,16,1,0,0.112,0.0,0.112,0.0,0.112,102.231,104.84,100.116,100.58,205.42,0,0,0.8482,1.0,-,,
17,unknown,0,0,17,1,0,0.104,0.0,0.104,0.008,0.112,100.882,102.78,101.318,101.94,204.72,0,0,0.8482,1.0,-,,
18,unknown,0,0,18,1,0,0.336,0.0,0.336,0.024,0.36,101.202,104.26,100.483,100.7,204.96,0,0,0.8482,1.0,-,,
