age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
100,Without-pay,Bachelors,10,Divorced,Handlers-cleaners,Wife,Other,Male,7499,108,77,United-States,0.5121369953214775,1
100,Without-pay,Bachelors,10,Divorced,Handlers-cleaners,Wife,Other,Female,7499,108,77,United-States,0.4976529651413233,0
60,Federal-gov,Doctorate,11,Divorced,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2499,4029,24,Vietnam,0.5613873521718948,1
60,Federal-gov,Doctorate,11,Divorced,Armed-Forces,Husband,Amer-Indian-Eskimo,Female,2499,4029,24,Vietnam,0.29867202308887886,0
30,Without-pay,10th,6,Divorced,Adm-clerical,Wife,Other,Male,12499,108,94,Yugoslavia,0.4664779268337152,0
30,Without-pay,10th,6,Divorced,Adm-clerical,Wife,Other,Female,12499,108,94,Yugoslavia,0.5222516802761586,1
68,Without-pay,Doctorate,13,Divorced,Other-service,Unmarried,Other,Male,2499,1197,90,India,0.5024246979422782,1
68,Without-pay,Doctorate,13,Divorced,Other-service,Unmarried,Other,Female,2499,1197,90,India,0.4842278253950331,0
79,Private,Preschool,5,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Female,7499,108,62,Haiti,0.48038857480915614,0
79,Private,Preschool,5,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Male,7499,108,62,Haiti,0.5012556884115918,1
70,Without-pay,Assoc-voc,6,Married-AF-spouse,Tech-support,Wife,White,Female,7499,1197,18,United-States,0.5509833055060167,1
70,Without-pay,Assoc-voc,6,Married-AF-spouse,Tech-support,Wife,White,Male,7499,1197,18,United-States,0.4993839863079273,0
20,Private,10th,13,Never-married,Sales,Own-child,Other,Female,2499,2286,38,France,0.4973650818604112,0
20,Private,10th,13,Never-married,Sales,Own-child,Other,Male,2499,2286,38,France,0.5089113811562339,1
88,Federal-gov,Some-college,16,Married-spouse-absent,Sales,Wife,Other,Male,2499,2286,52,Poland,0.5815107607701278,1
88,Federal-gov,Some-college,16,Married-spouse-absent,Sales,Wife,Other,Female,2499,2286,52,Poland,0.49891215734468225,0
49,Local-gov,Prof-school,11,Married-AF-spouse,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,2499,2286,61,Holand-Netherlands,0.5098915305943547,1
49,Local-gov,Prof-school,11,Married-AF-spouse,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,2499,2286,61,Holand-Netherlands,0.49337115982414664,0
