age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,emp.var.rate,campaign,pdays,previous,poutcome,output,decision
0,unemployed,married,basic.4y,no,no,yes,telephone,oct,fri,330,1,10,79,7,nonexistent,0.5226440846568016,1
1,unemployed,married,basic.4y,no,no,yes,telephone,oct,fri,330,1,10,79,7,nonexistent,0.4999471753837643,0
0,admin.,divorced,high.school,no,no,no,cellular,dec,mon,1000,1,40,787,5,failure,0.5217331415800411,1
1,admin.,divorced,high.school,no,no,no,cellular,dec,mon,1000,1,40,787,5,failure,0.49903442085613725,0
1,unemployed,divorced,basic.9y,yes,no,no,telephone,sep,tue,841,-1,50,650,7,failure,0.499365970832197,0
0,unemployed,divorced,basic.9y,yes,no,no,telephone,sep,tue,841,-1,50,650,7,failure,0.5220640266811116,1
0,admin.,single,basic.4y,no,no,yes,telephone,nov,mon,380,1,9,147,6,failure,0.5224581990462969,1
1,admin.,single,basic.4y,no,no,yes,telephone,nov,mon,380,1,9,147,6,failure,0.49976091088686764,0
0,unemployed,divorced,basic.4y,yes,no,yes,telephone,oct,thu,1241,1,40,966,4,failure,0.5217645681602326,1
1,unemployed,divorced,basic.4y,yes,no,yes,telephone,oct,thu,1241,1,40,966,4,failure,0.49906593669832205,0
0,self-employed,divorced,basic.9y,yes,yes,no,cellular,nov,thu,949,1,29,680,7,nonexistent,0.5226364857756562,1
1,self-employed,divorced,basic.9y,yes,yes,no,cellular,nov,thu,949,1,29,680,7,nonexistent,0.49993956089049213,0
0,unemployed,divorced,basic.4y,no,no,yes,telephone,jun,fri,631,1,10,659,0,failure,0.5226241431479431,1
1,unemployed,divorced,basic.4y,no,no,yes,telephone,jun,fri,631,1,10,659,0,failure,0.4999271780257606,0
0,unemployed,married,basic.6y,yes,no,yes,cellular,oct,fri,380,0,20,347,2,failure,0.5220578249935025,1
1,unemployed,married,basic.6y,yes,no,yes,cellular,oct,fri,380,0,20,347,2,failure,0.49935975705806895,0
1,retired,divorced,basic.4y,no,no,yes,cellular,apr,thu,859,1,8,749,7,nonexistent,0.498258627541282,0
0,retired,divorced,basic.4y,no,no,yes,cellular,apr,thu,859,1,8,749,7,nonexistent,0.5209587416761524,1
0,unemployed,divorced,basic.4y,yes,no,yes,telephone,sep,mon,1029,-1,30,932,7,failure,0.5217750535639555,1
1,unemployed,divorced,basic.4y,yes,no,yes,telephone,sep,mon,1029,-1,30,932,7,failure,0.499076441980712,0
0,unemployed,divorced,basic.4y,no,no,no,cellular,apr,mon,419,1,1,593,0,success,0.5215264922970824,1
1,unemployed,divorced,basic.4y,no,no,no,cellular,apr,mon,419,1,1,593,0,success,0.4988274148741724,0
0,unemployed,divorced,basic.4y,yes,no,no,telephone,oct,fri,829,1,43,520,3,failure,0.5211702749780277,1
1,unemployed,divorced,basic.4y,yes,no,no,telephone,oct,fri,829,1,43,520,3,failure,0.498470549585382,0
1,technician,married,illiterate,yes,no,no,cellular,apr,wed,806,1,30,847,0,failure,0.4995723665803276,0
0,technician,married,illiterate,yes,no,no,cellular,apr,wed,806,1,30,847,0,failure,0.5222700169890263,1
0,unemployed,married,professional.course,yes,no,no,cellular,oct,fri,391,0,3,682,0,success,0.5164591784445299,1
1,unemployed,married,professional.course,yes,no,no,cellular,oct,fri,391,0,3,682,0,success,0.49375305794667224,0
1,unemployed,divorced,university.degree,yes,no,no,telephone,jun,mon,433,1,18,470,0,failure,0.4966317328721429,0
0,unemployed,divorced,university.degree,yes,no,no,telephone,jun,mon,433,1,18,470,0,failure,0.5193344310573572,1
0,student,single,university.degree,yes,yes,yes,telephone,apr,tue,560,1,40,341,7,success,0.5146590321340332,1
1,student,single,university.degree,yes,yes,yes,telephone,apr,tue,560,1,40,341,7,success,0.4918732201063554,0
0,unemployed,married,basic.4y,yes,no,yes,telephone,sep,thu,1360,1,50,937,7,failure,0.522667134036457,1
1,unemployed,married,basic.4y,yes,no,yes,telephone,sep,thu,1360,1,50,937,7,failure,0.4999702721834533,0
0,blue-collar,divorced,basic.9y,yes,no,yes,telephone,sep,mon,562,0,22,403,5,failure,0.5213589691901025,1
1,blue-collar,divorced,basic.9y,yes,no,yes,telephone,sep,mon,562,0,22,403,5,failure,0.4986595841571088,0
1,blue-collar,divorced,basic.6y,yes,no,no,telephone,sep,fri,1120,0,15,999,7,failure,0.49856463468985457,0
0,blue-collar,divorced,basic.6y,yes,no,no,telephone,sep,fri,1120,0,15,999,7,failure,0.5212642212389201,1
0,unemployed,divorced,basic.4y,yes,yes,yes,cellular,sep,fri,681,1,42,29,7,failure,0.6615888420265407,1
1,unemployed,divorced,basic.4y,yes,yes,yes,cellular,sep,fri,681,1,42,29,7,failure,0.4778647361965216,0
1,unemployed,single,basic.6y,yes,no,yes,cellular,mar,fri,540,-2,31,726,3,failure,0.4996100366906267,0
0,unemployed,single,basic.6y,yes,no,yes,cellular,mar,fri,540,-2,31,726,3,failure,0.5223076271392306,1
0,blue-collar,married,basic.4y,yes,no,no,telephone,oct,fri,1201,1,50,778,7,nonexistent,0.5225115414197719,1
1,blue-collar,married,basic.4y,yes,no,no,telephone,oct,fri,1201,1,50,778,7,nonexistent,0.4998143762435361,0
0,unemployed,single,basic.4y,no,no,no,cellular,apr,fri,837,1,35,820,0,failure,0.5213218882672089,1
1,unemployed,single,basic.4y,no,no,no,cellular,apr,fri,837,1,35,820,0,failure,0.49862240603460556,0
0,technician,single,basic.4y,no,no,no,cellular,apr,wed,249,1,1,433,0,success,0.5224628536981323,1
1,technician,single,basic.4y,no,no,no,cellular,apr,wed,249,1,1,433,0,success,0.49976558985043346,0
1,unemployed,married,university.degree,yes,no,yes,telephone,sep,mon,751,-1,43,904,0,failure,0.4995752723046494,0
