age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,emp.var.rate,campaign,pdays,previous,poutcome,output,decision
0,blue-collar,divorced,basic.4y,yes,no,no,cellular,sep,fri,495,0,31,307,0,failure,0.5011568123322904,1
1,blue-collar,divorced,basic.4y,yes,no,no,cellular,sep,fri,495,0,31,307,0,failure,0.256977594612201,0
1,unemployed,divorced,basic.4y,yes,no,yes,telephone,oct,mon,495,-1,20,610,0,failure,0.4962876189970416,0
0,unemployed,divorced,basic.4y,yes,no,yes,telephone,oct,mon,495,-1,20,610,0,failure,0.5311934114380275,1
0,technician,married,basic.4y,no,no,yes,cellular,may,wed,741,1,44,541,0,failure,0.5485189161316639,1
1,technician,married,basic.4y,no,no,yes,cellular,may,wed,741,1,44,541,0,failure,0.26779661582942865,0
0,admin.,divorced,basic.4y,yes,no,no,cellular,nov,fri,319,-1,17,186,7,success,0.52688200791364,1
1,admin.,divorced,basic.4y,yes,no,no,cellular,nov,fri,319,-1,17,186,7,success,0.2510750863815937,0
0,technician,single,professional.course,yes,yes,yes,telephone,apr,fri,610,-2,39,772,7,success,0.5556431129144398,1
1,technician,single,professional.course,yes,yes,yes,telephone,apr,fri,610,-2,39,772,7,success,0.273483345519258,0
0,unemployed,divorced,illiterate,no,no,yes,telephone,sep,fri,699,1,30,21,0,failure,0.5327188866343688,1
1,unemployed,divorced,illiterate,no,no,yes,telephone,sep,fri,699,1,30,21,0,failure,0.2830121499380449,0
0,unemployed,divorced,university.degree,no,no,no,telephone,oct,fri,645,0,31,139,1,failure,0.5611819764208557,1
1,unemployed,divorced,university.degree,no,no,no,telephone,oct,fri,645,0,31,139,1,failure,0.3091011109686498,0
0,unemployed,married,basic.4y,yes,no,no,cellular,sep,fri,839,-3,41,77,0,failure,0.5611819764208557,1
1,unemployed,married,basic.4y,yes,no,no,cellular,sep,fri,839,-3,41,77,0,failure,0.3089977099238768,0
1,admin.,married,basic.4y,no,yes,yes,telephone,jul,mon,767,1,39,703,0,success,0.46542415018398614,0
0,admin.,married,basic.4y,no,yes,yes,telephone,jul,mon,767,1,39,703,0,success,0.5003153048037758,1
0,unemployed,married,basic.4y,no,no,no,telephone,sep,mon,509,1,7,526,0,nonexistent,0.5336907747662832,1
1,unemployed,married,basic.4y,no,no,no,telephone,sep,mon,509,1,7,526,0,nonexistent,0.4987954781409185,0
1,self-employed,single,basic.9y,yes,no,no,cellular,aug,thu,138,-2,13,449,0,failure,0.3813060262608331,0
0,self-employed,single,basic.9y,yes,no,no,cellular,aug,thu,138,-2,13,449,0,failure,0.5611819764208557,1
0,unemployed,single,basic.9y,yes,yes,no,cellular,apr,thu,515,-2,39,800,1,failure,0.5029827114277743,1
1,unemployed,single,basic.9y,yes,yes,no,cellular,apr,thu,515,-2,39,800,1,failure,0.2335116044799001,0
0,unemployed,divorced,basic.4y,no,no,no,telephone,sep,fri,276,-3,21,459,6,nonexistent,0.5502724335381283,1
1,unemployed,divorced,basic.4y,no,no,no,telephone,sep,fri,276,-3,21,459,6,nonexistent,0.2691879078028804,0
1,admin.,divorced,basic.4y,no,no,no,telephone,oct,fri,1190,1,40,989,5,failure,0.47084133467170547,0
0,admin.,divorced,basic.4y,no,no,no,telephone,oct,fri,1190,1,40,989,5,failure,0.5057543881084197,1
0,technician,married,basic.9y,no,yes,yes,telephone,aug,thu,209,-3,1,959,0,success,0.5007525341490995,1
1,technician,married,basic.9y,no,yes,yes,telephone,aug,thu,209,-3,1,959,0,success,0.4658593006130446,0
1,unemployed,divorced,basic.4y,yes,no,no,telephone,sep,mon,1070,1,33,839,5,failure,0.47573524563399366,0
0,unemployed,divorced,basic.4y,yes,no,no,telephone,sep,mon,1070,1,33,839,5,failure,0.5106609806454903,1
0,unemployed,single,basic.4y,no,yes,yes,cellular,sep,wed,819,1,19,853,1,failure,0.5011777744265464,1
1,unemployed,single,basic.4y,no,yes,yes,cellular,sep,wed,819,1,19,853,1,failure,0.4662825991867159,0
0,admin.,divorced,basic.4y,yes,no,no,telephone,sep,mon,560,1,10,168,7,failure,0.5348269446826756,1
1,admin.,divorced,basic.4y,yes,no,no,telephone,sep,mon,560,1,10,168,7,failure,0.4999370425942887,0
0,unemployed,divorced,basic.9y,yes,no,yes,cellular,sep,fri,750,1,40,367,6,success,0.5069711757141347,1
1,unemployed,divorced,basic.9y,yes,no,yes,cellular,sep,fri,750,1,40,367,6,success,0.23637952820501917,0
