age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,emp.var.rate,campaign,pdays,previous,poutcome,output,decision
1,student,divorced,university.degree,no,yes,yes,cellular,apr,fri,191,-3,3,0,7,failure,0.41171484932534363,0
0,student,divorced,university.degree,no,yes,yes,cellular,apr,fri,191,-3,3,0,7,failure,0.588245189620895,1
0,unemployed,single,basic.6y,no,yes,no,telephone,apr,mon,279,-3,23,710,0,failure,0.5051356536022452,1
1,unemployed,single,basic.6y,no,yes,no,telephone,apr,mon,279,-3,23,710,0,failure,0.32403686967186623,0
1,unemployed,married,high.school,no,no,yes,cellular,oct,fri,843,1,9,672,7,success,0.49959602960793453,0
0,unemployed,married,high.school,no,no,yes,cellular,oct,fri,843,1,9,672,7,success,0.5131605559125946,1
1,unemployed,divorced,professional.course,yes,no,yes,cellular,sep,thu,1151,1,50,678,6,failure,0.4895565203649592,0
0,unemployed,divorced,professional.course,yes,no,yes,cellular,sep,thu,1151,1,50,678,6,failure,0.5128808125432418,1
0,blue-collar,divorced,basic.6y,no,no,yes,cellular,nov,fri,566,1,29,279,0,failure,0.5001206994033256,1
1,blue-collar,divorced,basic.6y,no,no,yes,cellular,nov,fri,566,1,29,279,0,failure,0.3196584460812797,0
0,unemployed,divorced,basic.4y,no,yes,yes,telephone,sep,wed,291,-1,9,224,5,failure,0.5001958906550317,1
1,unemployed,divorced,basic.4y,no,yes,yes,telephone,sep,wed,291,-1,9,224,5,failure,0.3197240405806042,0
0,unemployed,married,high.school,yes,yes,yes,cellular,sep,fri,906,-3,24,41,7,nonexistent,0.5131605559125946,1
1,unemployed,married,high.school,yes,yes,yes,cellular,sep,fri,906,-3,24,41,7,nonexistent,0.4996803105313108,0
0,unemployed,divorced,basic.9y,yes,no,no,telephone,apr,fri,1219,-2,45,149,0,failure,0.5131605559125946,1
1,unemployed,divorced,basic.9y,yes,no,no,telephone,apr,fri,1219,-2,45,149,0,failure,0.473901141980561,0
0,unemployed,divorced,basic.4y,no,no,yes,telephone,nov,fri,1385,1,39,958,7,failure,0.5131605559125946,1
1,unemployed,divorced,basic.4y,no,no,yes,telephone,nov,fri,1385,1,39,958,7,failure,0.49997344613077754,0
0,unemployed,divorced,basic.4y,yes,no,no,cellular,sep,tue,1390,1,40,927,7,failure,0.5131605559125946,1
1,unemployed,divorced,basic.4y,yes,no,no,cellular,sep,tue,1390,1,40,927,7,failure,0.49388489817039255,0
0,technician,married,university.degree,no,no,yes,telephone,apr,wed,219,-3,22,793,0,success,0.5052367322035882,1
1,technician,married,university.degree,no,no,yes,telephone,apr,wed,219,-3,22,793,0,success,0.32412547142213,0
0,admin.,divorced,basic.9y,no,yes,no,cellular,dec,fri,282,1,11,129,0,failure,0.5131605559125946,1
1,admin.,divorced,basic.9y,no,yes,no,cellular,dec,fri,282,1,11,129,0,failure,0.49987974763148424,0
0,blue-collar,divorced,basic.4y,yes,no,yes,telephone,sep,fri,840,1,30,258,7,failure,0.5131605559125946,1
1,blue-collar,divorced,basic.4y,yes,no,yes,telephone,sep,fri,840,1,30,258,7,failure,0.49985674024020255,0
1,unemployed,single,university.degree,yes,yes,yes,cellular,dec,wed,345,-3,20,614,7,failure,0.326397987211463,0
0,unemployed,single,university.degree,yes,yes,yes,cellular,dec,wed,345,-3,20,614,7,failure,0.5078248251196633,1
1,unemployed,divorced,basic.4y,yes,no,yes,telephone,sep,fri,653,1,23,119,7,failure,0.3199219302702598,0
0,unemployed,divorced,basic.4y,yes,no,yes,telephone,sep,fri,653,1,23,119,7,failure,0.5004233120860553,1
0,unemployed,married,basic.9y,no,yes,yes,telephone,sep,thu,240,-2,9,539,1,nonexistent,0.500711023328244,1
1,unemployed,married,basic.9y,no,yes,yes,telephone,sep,thu,240,-2,9,539,1,nonexistent,0.4773978357201636,0
0,self-employed,divorced,basic.4y,yes,yes,yes,telephone,apr,thu,930,-2,40,855,7,failure,0.5131605559125946,1
1,self-employed,divorced,basic.4y,yes,yes,yes,telephone,apr,thu,930,-2,40,855,7,failure,0.4995815456890518,0
1,technician,divorced,basic.6y,no,no,yes,cellular,sep,mon,810,0,11,872,2,success,0.4986523124429914,0
0,technician,divorced,basic.6y,no,no,yes,cellular,sep,mon,810,0,11,872,2,success,0.5131605559125946,1
0,unemployed,divorced,basic.6y,yes,no,yes,telephone,dec,tue,624,1,23,177,7,failure,0.5074226171203382,1
1,unemployed,divorced,basic.6y,yes,no,yes,telephone,dec,tue,624,1,23,177,7,failure,0.3263884993952205,0
0,unemployed,divorced,high.school,no,no,yes,telephone,oct,tue,973,1,15,734,6,failure,0.5131605559125946,1
1,unemployed,divorced,high.school,no,no,yes,telephone,oct,tue,973,1,15,734,6,failure,0.4900074496874112,0
0,housemaid,single,basic.4y,yes,no,yes,telephone,apr,mon,624,1,24,232,6,nonexistent,0.5071792138614866,1
1,housemaid,single,basic.4y,yes,no,yes,telephone,apr,mon,624,1,24,232,6,nonexistent,0.3258301746193914,0
0,admin.,divorced,basic.4y,yes,no,no,cellular,apr,fri,899,1,40,209,1,failure,0.5131605559125946,1
1,admin.,divorced,basic.4y,yes,no,no,cellular,apr,fri,899,1,40,209,1,failure,0.4978803225186855,0
1,admin.,divorced,basic.4y,yes,no,no,cellular,dec,fri,223,-3,21,474,0,failure,0.3534198897020764,0
0,admin.,divorced,basic.4y,yes,no,no,cellular,dec,fri,223,-3,21,474,0,failure,0.5131605559125946,1
1,admin.,divorced,high.school,no,yes,no,telephone,sep,wed,771,0,41,531,3,failure,0.33027909908926684,0
0,admin.,divorced,high.school,no,yes,no,telephone,sep,wed,771,0,41,531,3,failure,0.5122228942159998,1
1,management,divorced,basic.4y,yes,no,no,cellular,apr,fri,379,-1,22,369,1,nonexistent,0.4995146395300457,0
0,management,divorced,basic.4y,yes,no,no,cellular,apr,fri,379,-1,22,369,1,nonexistent,0.5131605559125946,1
0,technician,married,university.degree,no,yes,no,cellular,apr,thu,349,0,4,640,0,success,0.5131605559125946,1
1,technician,married,university.degree,no,yes,no,cellular,apr,thu,349,0,4,640,0,success,0.4996242523900698,0
0,unemployed,single,basic.6y,no,yes,no,cellular,apr,fri,979,-3,38,334,0,nonexistent,0.5131605559125946,1
1,unemployed,single,basic.6y,no,yes,no,cellular,apr,fri,979,-3,38,334,0,nonexistent,0.49484613910666275,0
0,unemployed,divorced,university.degree,no,no,yes,telephone,sep,fri,1285,1,50,899,6,failure,0.5131605559125946,1
1,unemployed,divorced,university.degree,no,no,yes,telephone,sep,fri,1285,1,50,899,6,failure,0.49095523686653225,0
0,unemployed,married,basic.4y,no,no,yes,telephone,apr,fri,990,-1,30,929,7,failure,0.5131605559125946,1
1,unemployed,married,basic.4y,no,no,yes,telephone,apr,fri,990,-1,30,929,7,failure,0.4900031896581894,0
0,unemployed,married,university.degree,yes,yes,yes,telephone,sep,mon,830,-3,50,968,7,success,0.508429652347818,1
1,unemployed,married,university.degree,yes,yes,yes,telephone,sep,mon,830,-3,50,968,7,success,0.3269300825047257,0
0,unemployed,married,basic.9y,yes,no,no,telephone,sep,fri,880,1,21,519,7,nonexistent,0.5131605559125946,1
