age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,decision
79,Local-gov,7th-8th,1,Married-civ-spouse,Tech-support,Wife,Other,Female,52500,2286,33,United-States,0.502415,POSITIVE
79,Local-gov,7th-8th,1,Married-civ-spouse,Tech-support,Wife,Other,Male,52500,2286,33,United-States,0.489829,NEGATIVE
79,Local-gov,Bachelors,1,Married-civ-spouse,Tech-support,Wife,Other,Female,52500,2286,30,United-States,0.503293,POSITIVE
79,Local-gov,Bachelors,1,Married-civ-spouse,Tech-support,Wife,Other,Male,52500,2286,30,United-States,0.490706,NEGATIVE
87,State-gov,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Other,Female,57500,2722,27,Italy,0.504856,POSITIVE
87,State-gov,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Other,Male,57500,2722,27,Italy,0.492269,NEGATIVE
58,Local-gov,Some-college,1,Married-civ-spouse,Craft-repair,Wife,Other,Female,52500,2286,26,Canada,0.503625,POSITIVE
58,Local-gov,Some-college,1,Married-civ-spouse,Craft-repair,Wife,Other,Male,52500,2286,26,Canada,0.491038,NEGATIVE
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,52500,2286,14,Canada,0.502241,POSITIVE
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,52500,2286,14,Canada,0.489655,NEGATIVE
79,Private,7th-8th,9,Married-civ-spouse,Tech-support,Wife,Other,Female,52500,2286,14,United-States,0.500735,POSITIVE
79,Private,7th-8th,9,Married-civ-spouse,Tech-support,Wife,Other,Male,52500,2286,14,United-States,0.488149,NEGATIVE
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,77500,3375,1,Canada,0.503780,POSITIVE
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,77500,3375,1,Canada,0.491193,NEGATIVE
81,Self-emp-not-inc,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,77500,2286,1,Canada,0.509763,POSITIVE
81,Self-emp-not-inc,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,77500,2286,1,Canada,0.497177,NEGATIVE
83,Local-gov,12th,13,Married-civ-spouse,Sales,Own-child,Other,Female,52500,2504,8,Japan,0.501583,POSITIVE
83,Local-gov,12th,13,Married-civ-spouse,Sales,Own-child,Other,Male,52500,2504,8,Japan,0.488997,NEGATIVE
81,Local-gov,Some-college,13,Married-civ-spouse,Craft-repair,Wife,Other,Female,67500,2286,1,Canada,0.500129,POSITIVE
81,Local-gov,Some-college,13,Married-civ-spouse,Craft-repair,Wife,Other,Male,67500,2286,1,Canada,0.487544,NEGATIVE
83,Self-emp-not-inc,HS-grad,13,Married-civ-spouse,Sales,Own-child,Other,Female,52500,2722,2,Japan,0.504400,POSITIVE
83,Self-emp-not-inc,HS-grad,13,Married-civ-spouse,Sales,Own-child,Other,Male,52500,2722,2,Japan,0.491814,NEGATIVE
81,Local-gov,Some-college,13,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,2286,1,Canada,0.503645,POSITIVE
81,Local-gov,Some-college,13,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,2286,1,Canada,0.491058,NEGATIVE
81,Local-gov,12th,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,67500,3375,8,Canada,0.506034,POSITIVE
81,Local-gov,12th,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,67500,3375,8,Canada,0.493447,NEGATIVE
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,67500,2286,8,Canada,0.500475,POSITIVE
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,67500,2286,8,Canada,0.487891,NEGATIVE
79,Private,Bachelors,9,Married-civ-spouse,Tech-support,Wife,Other,Female,52500,3375,8,United-States,0.510686,POSITIVE
79,Private,Bachelors,9,Married-civ-spouse,Tech-support,Wife,Other,Male,52500,3375,8,United-States,0.498100,NEGATIVE
87,State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Other,Female,57500,2722,9,Italy,0.512063,POSITIVE
87,State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Other,Male,57500,2722,9,Italy,0.499478,NEGATIVE
91,State-gov,Prof-school,9,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,57500,2722,10,Dominican-Republic,0.501521,POSITIVE
91,State-gov,Prof-school,9,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,57500,2722,10,Dominican-Republic,0.488935,NEGATIVE
91,Self-emp-inc,10th,9,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,57500,2722,10,Dominican-Republic,0.509071,POSITIVE
91,Self-emp-inc,10th,9,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,57500,2722,10,Dominican-Republic,0.496484,NEGATIVE
85,Self-emp-not-inc,11th,9,Married-civ-spouse,Exec-managerial,Own-child,Other,Female,57500,2504,9,Cuba,0.505780,POSITIVE
85,Self-emp-not-inc,11th,9,Married-civ-spouse,Exec-managerial,Own-child,Other,Male,57500,2504,9,Cuba,0.493193,NEGATIVE
83,Local-gov,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,52500,2504,8,Japan,0.500288,POSITIVE
83,Local-gov,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,52500,2504,8,Japan,0.487703,NEGATIVE
81,Private,12th,9,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,2286,8,Canada,0.512323,POSITIVE
81,Private,12th,9,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,2286,8,Canada,0.499738,NEGATIVE
87,Self-emp-inc,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Husband,Other,Female,67500,3158,3,Italy,0.502239,POSITIVE
87,Self-emp-inc,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Husband,Other,Male,67500,3158,3,Italy,0.489652,NEGATIVE
87,State-gov,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,67500,2722,2,Italy,0.500591,POSITIVE
87,State-gov,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67500,2722,2,Italy,0.488006,NEGATIVE
95,State-gov,10th,11,Married-civ-spouse,Transport-moving,Other-relative,Black,Female,62500,3811,5,Nicaragua,0.503247,POSITIVE
95,State-gov,10th,11,Married-civ-spouse,Transport-moving,Other-relative,Black,Male,62500,3811,5,Nicaragua,0.490660,NEGATIVE
81,Self-emp-not-inc,Some-college,9,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,2504,5,Canada,0.506805,POSITIVE
81,Self-emp-not-inc,Some-college,9,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,2504,5,Canada,0.494218,NEGATIVE
91,Local-gov,12th,10,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,57500,3375,2,Dominican-Republic,0.505648,POSITIVE
