age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,race,relationship,sex,workclass
16,52500,4029,1,Bachelors,1,89,Married-civ-spouse,Portugal,Tech-support,White,Wife,Female,Private
16,52500,4029,1,Bachelors,1,89,Married-civ-spouse,Portugal,Tech-support,White,Wife,Male,Private
10,52500,4029,1,7th-8th,1,90,Married-civ-spouse,Portugal,Craft-repair,White,Wife,Female,Self-emp-not-inc
10,52500,4029,1,7th-8th,1,90,Married-civ-spouse,Portugal,Craft-repair,White,Wife,Male,Self-emp-not-inc
13,52500,3375,0,Bachelors,1,89,Married-civ-spouse,Portugal,Tech-support,White,Wife,Female,Private
13,52500,3375,0,Bachelors,1,89,Married-civ-spouse,Portugal,Tech-support,White,Wife,Male,Private
10,57500,4029,1,Some-college,10,91,Divorced,Ireland,Sales,Asian-Pac-Islander,Own-child,Female,Self-emp-not-inc
10,57500,4029,1,Some-college,10,91,Divorced,Ireland,Sales,Asian-Pac-Islander,Own-child,Male,Self-emp-not-inc
10,57500,3593,1,Some-college,2,91,Divorced,Ireland,Sales,Asian-Pac-Islander,Own-child,Female,Self-emp-not-inc
10,57500,3593,1,Some-college,2,91,Divorced,Ireland,Sales,Asian-Pac-Islander,Own-child,Male,Self-emp-not-inc
22,52500,4029,0,7th-8th,1,89,Married-civ-spouse,Outlying-US(Guam-USVI-etc),Tech-support,White,Wife,Female,Private
22,52500,4029,0,7th-8th,1,89,Married-civ-spouse,Outlying-US(Guam-USVI-etc),Tech-support,White,Wife,Male,Private
22,52500,4029,0,12th,9,90,Married-civ-spouse,United-States,Craft-repair,White,Wife,Female,Self-emp-not-inc
22,52500,4029,0,12th,9,90,Married-civ-spouse,United-States,Craft-repair,White,Wife,Male,Self-emp-not-inc
22,52500,4029,1,Prof-school,9,89,Married-civ-spouse,Outlying-US(Guam-USVI-etc),Tech-support,White,Wife,Female,Private
22,52500,4029,1,Prof-school,9,89,Married-civ-spouse,Outlying-US(Guam-USVI-etc),Tech-support,White,Wife,Male,Private
22,52500,3375,1,Some-college,1,90,Married-civ-spouse,Outlying-US(Guam-USVI-etc),Craft-repair,White,Wife,Female,Self-emp-not-inc
22,52500,3375,1,Some-college,1,90,Married-civ-spouse,Outlying-US(Guam-USVI-etc),Craft-repair,White,Wife,Male,Self-emp-not-inc
22,77500,3375,1,Some-college,2,90,Married-civ-spouse,United-States,Craft-repair,White,Wife,Female,Self-emp-not-inc
22,77500,3375,1,Some-college,2,90,Married-civ-spouse,United-States,Craft-repair,White,Wife,Male,Self-emp-not-inc
22,52500,3375,1,Some-college,2,90,Widowed,United-States,Craft-repair,White,Wife,Female,Self-emp-not-inc
22,52500,3375,1,Some-college,2,90,Widowed,United-States,Craft-repair,White,Wife,Male,Self-emp-not-inc
25,57500,4029,1,Some-college,10,91,Divorced,Cambodia,Sales,Asian-Pac-Islander,Own-child,Female,Self-emp-not-inc
25,57500,4029,1,Some-college,10,91,Divorced,Cambodia,Sales,Asian-Pac-Islander,Own-child,Male,Self-emp-not-inc
25,57500,4029,1,Assoc-acdm,2,91,Divorced,Cambodia,Sales,Asian-Pac-Islander,Own-child,Female,Self-emp-not-inc
25,57500,4029,1,Assoc-acdm,2,91,Divorced,Cambodia,Sales,Asian-Pac-Islander,Own-child,Male,Self-emp-not-inc
22,57500,3593,0,11th,5,92,Divorced,Cambodia,Exec-managerial,Asian-Pac-Islander,Own-child,Female,Self-emp-inc
22,57500,3593,0,11th,5,92,Divorced,Cambodia,Exec-managerial,Asian-Pac-Islander,Own-child,Male,Self-emp-inc
22,52500,4029,1,Bachelors,1,77,Widowed,United-States,Craft-repair,White,Wife,Female,Self-emp-not-inc
22,52500,4029,1,Bachelors,1,77,Widowed,United-States,Craft-repair,White,Wife,Male,Self-emp-not-inc
22,52500,3375,0,Some-college,2,77,Married-civ-spouse,United-States,Craft-repair,White,Wife,Female,Self-emp-not-inc
