age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
97,Without-pay,Preschool,11,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,92500,4029,98,Holand-Netherlands,1
97,Without-pay,Preschool,11,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,92500,4029,98,Holand-Netherlands,0
97,Without-pay,Preschool,7,Married-AF-spouse,Protective-serv,Other-relative,Black,Female,97500,4029,98,Yugoslavia,1
97,Without-pay,Preschool,7,Married-AF-spouse,Protective-serv,Other-relative,Black,Male,97500,4029,98,Yugoslavia,0
91,State-gov,5th-6th,2,Married-spouse-absent,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Female,97500,3375,95,El-Salvador,1
91,State-gov,5th-6th,2,Married-spouse-absent,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,97500,3375,95,El-Salvador,0
95,Without-pay,Masters,3,Married-AF-spouse,Protective-serv,Other-relative,Other,Female,97500,3811,97,Peru,1
95,Without-pay,Masters,3,Married-AF-spouse,Protective-serv,Other-relative,Other,Male,97500,3811,97,Peru,0
87,State-gov,Doctorate,2,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Female,92500,3158,93,Yugoslavia,1
87,State-gov,Doctorate,2,Married-spouse-absent,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,92500,3158,93,Yugoslavia,0
91,State-gov,Masters,2,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,92500,3375,95,El-Salvador,1
91,State-gov,Masters,2,Married-spouse-absent,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,92500,3375,95,El-Salvador,0
93,State-gov,5th-6th,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,97500,3593,96,Hong,1
93,State-gov,5th-6th,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Male,97500,3593,96,Hong,0
97,Without-pay,1st-4th,7,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,92500,4029,98,Hong,1
97,Without-pay,1st-4th,7,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,92500,4029,98,Hong,0
93,State-gov,Masters,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,92500,3593,96,Trinadad&Tobago,1
93,State-gov,Masters,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Male,92500,3593,96,Trinadad&Tobago,0
97,Federal-gov,Preschool,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,97500,4029,98,Holand-Netherlands,1
97,Federal-gov,Preschool,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,97500,4029,98,Holand-Netherlands,0
93,Self-emp-inc,5th-6th,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Female,92500,3593,96,Trinadad&Tobago,1
93,Self-emp-inc,5th-6th,3,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Male,92500,3593,96,Trinadad&Tobago,0
96,State-gov,Doctorate,3,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,97500,3593,84,Trinadad&Tobago,1
