status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A13,0,A33,A40,3800,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5215476312786748,1
A13,0,A33,A40,3800,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.4474115620823098,0
A13,2,A33,A40,8299,A63,A72,3,A101,2,A121,1,A141,A151,4,A171,1,A191,A202,A92,0.5024226313860433,1
A13,2,A33,A40,8299,A63,A72,3,A101,2,A121,0,A141,A151,4,A171,1,A191,A202,A92,0.4286111004541229,0
A13,0,A33,A40,12599,A63,A72,1,A102,2,A121,0,A141,A151,2,A171,2,A191,A201,A92,0.43239135721029925,0
A13,0,A33,A40,12599,A63,A72,1,A102,2,A121,1,A141,A151,2,A171,2,A191,A201,A92,0.5063419116580083,1
A13,0,A33,A40,4600,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5087751275274387,1
A13,0,A33,A40,4600,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.43478594009512633,0
A13,0,A34,A40,14199,A63,A71,4,A102,4,A123,0,A142,A151,1,A171,2,A191,A201,A92,0.43539725691611725,0
A13,0,A34,A40,14199,A63,A71,4,A102,4,A123,1,A142,A151,1,A171,2,A191,A201,A92,0.5094462912313571,1
A13,0,A33,A40,4500,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5103805243950705,1
A13,0,A33,A40,4500,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.43636901650575566,0
A13,0,A33,A40,1900,A63,A72,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A92,0.5517594407444039,1
A13,0,A33,A40,1900,A63,A72,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A92,0.47761586323449823,0
A13,8,A30,A40,12291,A63,A74,3,A103,4,A121,1,A142,A151,3,A171,1,A191,A201,A92,0.5231294729173819,1
A13,8,A30,A40,12291,A63,A74,3,A103,4,A121,0,A142,A151,3,A171,1,A191,A201,A92,0.4489606778958814,0
A13,1,A30,A410,13084,A63,A72,4,A101,3,A121,1,A143,A151,4,A172,1,A192,A202,A92,0.5058003045620525,1
A13,1,A30,A410,13084,A63,A72,4,A101,3,A121,0,A143,A151,4,A172,1,A192,A202,A92,0.4318034954870327,0
A11,13,A33,A40,12199,A63,A72,1,A101,1,A122,0,A143,A151,3,A171,1,A191,A202,A92,0.4296596288700185,0
A11,13,A33,A40,12199,A63,A72,1,A101,1,A122,1,A143,A151,3,A171,1,A191,A202,A92,0.5036108657679643,1
A14,40,A34,A40,765,A65,A74,4,A103,3,A123,0,A141,A152,1,A171,2,A191,A202,A92,0.49796384674102984,0
A14,40,A34,A40,765,A65,A74,4,A103,3,A123,1,A141,A152,1,A171,2,A191,A202,A92,0.555705484734776,1
A13,3,A34,A41,14000,A65,A71,1,A102,3,A123,1,A142,A151,2,A173,1,A191,A201,A92,0.5583705782688531,1
