status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A13,3,A32,A48,16750,A63,A73,1,A103,3,A123,0,A143,A153,3,A173,1,A192,A202,A92,0.449065,NEGATIVE
A13,3,A32,A48,16750,A63,A73,1,A103,3,A123,1,A143,A153,3,A173,1,A192,A202,A92,0.500706,POSITIVE
A13,4,A32,A49,17437,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,0.451143,NEGATIVE
A13,4,A32,A49,17437,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.502805,POSITIVE
A13,9,A32,A48,16750,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,0.448475,NEGATIVE
A13,9,A32,A48,16750,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.500110,POSITIVE
A13,3,A32,A47,16750,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,0.453683,NEGATIVE
A13,3,A32,A47,16750,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.505368,POSITIVE
A13,4,A32,A49,16812,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,0.449997,NEGATIVE
A13,4,A32,A49,16812,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.501648,POSITIVE
A13,4,A32,A49,16812,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,0.449585,NEGATIVE
A13,4,A32,A49,16812,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.501232,POSITIVE
A13,14,A32,A49,15562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,0.450150,NEGATIVE
A13,14,A32,A49,15562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.501803,POSITIVE
A13,14,A32,A49,16187,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,0.449833,NEGATIVE
A13,14,A32,A49,16187,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.501482,POSITIVE
