status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A12,77,A31,A47,19995,A62,A72,2,A102,2,A122,0,A142,A152,2,A172,1,A191,A201,A91,0.497795,NEGATIVE
A12,77,A31,A47,19995,A62,A72,2,A102,2,A122,1,A142,A152,2,A172,1,A191,A201,A91,0.511003,POSITIVE
A12,72,A31,A46,19994,A62,A72,1,A102,1,A122,0,A142,A152,1,A172,1,A191,A201,A91,0.493565,NEGATIVE
A12,72,A31,A46,19994,A62,A72,1,A102,1,A122,1,A142,A152,1,A172,1,A191,A201,A91,0.506773,POSITIVE
A12,77,A31,A47,19985,A62,A72,2,A102,2,A122,0,A142,A152,2,A172,1,A191,A201,A91,0.497745,NEGATIVE
A12,77,A31,A47,19985,A62,A72,2,A102,2,A122,1,A142,A152,2,A172,1,A191,A201,A91,0.510905,POSITIVE
A12,72,A31,A46,19984,A62,A72,1,A102,1,A122,0,A142,A152,1,A172,1,A191,A201,A91,0.493515,NEGATIVE
A12,72,A31,A46,19984,A62,A72,1,A102,1,A122,1,A142,A152,1,A172,1,A191,A201,A91,0.506749,POSITIVE
A12,76,A31,A42,19996,A62,A72,2,A102,2,A122,0,A142,A152,2,A173,1,A192,A202,A92,0.487799,NEGATIVE
A12,76,A31,A42,19996,A62,A72,2,A102,2,A122,1,A142,A152,2,A173,1,A192,A202,A92,0.501001,POSITIVE
A12,76,A31,A42,19987,A62,A72,2,A102,2,A122,0,A142,A152,2,A173,1,A192,A202,A92,0.487741,NEGATIVE
A12,76,A31,A42,19987,A62,A72,2,A102,2,A122,1,A142,A152,2,A173,1,A192,A202,A92,0.500957,POSITIVE
A11,66,A30,A46,19993,A61,A71,1,A101,1,A121,0,A141,A151,1,A172,1,A191,A201,A91,0.489343,NEGATIVE
A11,66,A30,A46,19993,A61,A71,1,A101,1,A121,1,A141,A151,1,A172,1,A191,A201,A91,0.502614,POSITIVE
A11,64,A30,A48,19997,A61,A71,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0.488018,NEGATIVE
A11,64,A30,A48,19997,A61,A71,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.501258,POSITIVE
A11,64,A30,A48,19992,A61,A71,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0.488012,NEGATIVE
A11,64,A30,A48,19992,A61,A71,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.501219,POSITIVE
