age,capital-gain,capital-loss,decision,education,education-num,hours-per-week,marital-status,native-country,occupation,output,race,relationship,sex,workclass
97,27500,762,1,10th,3,97,Married-AF-spouse,Haiti,Transport-moving,0.852995,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,97,Married-AF-spouse,Haiti,Transport-moving,0.4999125,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,98,Married-AF-spouse,Columbia,Protective-serv,0.7601765,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,98,Married-AF-spouse,Columbia,Protective-serv,0.414076,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,98,Separated,Columbia,Protective-serv,0.4633625,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,98,Separated,Columbia,Protective-serv,0.6518005,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,98,Married-AF-spouse,Vietnam,Protective-serv,0.474886,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,98,Married-AF-spouse,Vietnam,Protective-serv,0.6410505,Black,Unmarried,Male,State-gov
97,27500,1851,0,10th,3,97,Married-AF-spouse,Japan,Transport-moving,0.450471,Other,Unmarried,Female,State-gov
97,27500,1851,1,10th,3,97,Married-AF-spouse,Japan,Transport-moving,0.639758,Other,Unmarried,Male,State-gov
98,27500,2069,0,Doctorate,3,98,Married-AF-spouse,Greece,Protective-serv,0.3688945,Black,Unmarried,Female,State-gov
98,27500,2069,1,Doctorate,3,98,Married-AF-spouse,Greece,Protective-serv,0.5592245,Black,Unmarried,Male,State-gov
95,27500,544,0,12th,5,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,0.493325,Amer-Indian-Eskimo,Unmarried,Female,Local-gov
95,27500,544,1,12th,5,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,0.679789,Amer-Indian-Eskimo,Unmarried,Male,Local-gov
96,27500,762,0,Masters,5,96,Married-spouse-absent,India,Farming-fishing,0.444916,Other,Unmarried,Female,Local-gov
96,27500,762,1,Masters,5,96,Married-spouse-absent,India,Farming-fishing,0.6345685,Other,Unmarried,Male,Local-gov
97,27500,762,0,10th,6,97,Married-AF-spouse,Japan,Transport-moving,0.3965075,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,6,97,Married-AF-spouse,Japan,Transport-moving,0.5893485,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,98,Married-AF-spouse,Greece,Protective-serv,0.3559005,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,98,Married-AF-spouse,Greece,Protective-serv,0.5441285,Black,Unmarried,Male,State-gov
97,27500,762,1,10th,3,85,Married-AF-spouse,Jamaica,Transport-moving,0.942205,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,85,Married-AF-spouse,Jamaica,Transport-moving,0.492581,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,86,Married-AF-spouse,Vietnam,Protective-serv,0.8260730000000001,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,86,Married-AF-spouse,Vietnam,Protective-serv,0.405501,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,7,86,Married-AF-spouse,Greece,Protective-serv,0.464721,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,7,86,Married-AF-spouse,Greece,Protective-serv,0.6304460000000001,Black,Unmarried,Male,State-gov
97,27500,762,0,10th,3,97,Never-married,Jamaica,Transport-moving,0.4559045,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,97,Never-married,Jamaica,Transport-moving,0.6448335000000001,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,98,Separated,Vietnam,Protective-serv,0.3659795,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,98,Separated,Vietnam,Protective-serv,0.5558375,Black,Unmarried,Male,State-gov
96,27500,762,0,Masters,3,96,Never-married,India,Farming-fishing,0.4453645,Other,Unmarried,Female,Local-gov
96,27500,762,1,Masters,3,96,Never-married,India,Farming-fishing,0.6349875,Other,Unmarried,Male,Local-gov
97,27500,762,0,10th,3,97,Never-married,Japan,Transport-moving,0.3583305,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,97,Never-married,Japan,Transport-moving,0.5469515,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,86,Separated,Vietnam,Protective-serv,0.4530375,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,86,Separated,Vietnam,Protective-serv,0.642155,Black,Unmarried,Male,State-gov
97,27500,762,0,10th,3,85,Never-married,Japan,Transport-moving,0.444288,Other,Unmarried,Female,State-gov
97,27500,762,1,10th,3,85,Never-married,Japan,Transport-moving,0.633982,Other,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,86,Separated,Greece,Protective-serv,0.35685100000000003,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,86,Separated,Greece,Protective-serv,0.545233,Black,Unmarried,Male,State-gov
87,27500,980,1,Doctorate,3,98,Married-AF-spouse,Vietnam,Protective-serv,1.965811,Black,Unmarried,Female,State-gov
87,27500,980,0,Doctorate,3,98,Married-AF-spouse,Vietnam,Protective-serv,0.4302945,Black,Unmarried,Male,State-gov
84,27500,544,0,7th-8th,2,94,Married-spouse-absent,Germany,Machine-op-inspct,0.4660805,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov
84,27500,544,1,7th-8th,2,94,Married-spouse-absent,Germany,Machine-op-inspct,0.6403685,Amer-Indian-Eskimo,Unmarried,Male,Federal-gov
84,27500,544,0,12th,2,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,0.387299,Amer-Indian-Eskimo,Unmarried,Female,Local-gov
84,27500,544,1,12th,2,95,Married-spouse-absent,Outlying-US(Guam-USVI-etc),Adm-clerical,0.559835,Amer-Indian-Eskimo,Unmarried,Male,Local-gov
87,27500,980,1,Doctorate,3,86,Married-AF-spouse,Greece,Protective-serv,1.965811,Black,Unmarried,Female,State-gov
87,27500,980,0,Doctorate,3,86,Married-AF-spouse,Greece,Protective-serv,0.42013,Black,Unmarried,Male,State-gov
87,27500,980,0,Doctorate,3,98,Separated,Vietnam,Protective-serv,0.4759155,Black,Unmarried,Female,State-gov
87,27500,980,1,Doctorate,3,98,Separated,Vietnam,Protective-serv,0.647761,Black,Unmarried,Male,State-gov
86,27500,762,0,10th,3,97,Never-married,Japan,Transport-moving,0.4495265,Other,Unmarried,Female,State-gov
86,27500,762,1,10th,3,97,Never-married,Japan,Transport-moving,0.6388755,Other,Unmarried,Male,State-gov
87,27500,980,0,Doctorate,3,98,Separated,Greece,Protective-serv,0.3616765,Black,Unmarried,Female,State-gov
87,27500,980,1,Doctorate,3,98,Separated,Greece,Protective-serv,0.5508385,Black,Unmarried,Male,State-gov
87,27500,980,0,Doctorate,3,86,Separated,Greece,Protective-serv,0.465751,Black,Unmarried,Female,State-gov
87,27500,980,1,Doctorate,3,86,Separated,Greece,Protective-serv,0.6371560000000001,Black,Unmarried,Male,State-gov
97,27500,762,1,10th,3,72,Married-AF-spouse,Japan,Transport-moving,1.4383815,Other,Unmarried,Female,State-gov
97,27500,762,0,10th,3,72,Married-AF-spouse,Japan,Transport-moving,0.489528,Other,Unmarried,Male,State-gov
98,27500,980,1,Doctorate,3,73,Married-AF-spouse,Greece,Protective-serv,1.112649,Black,Unmarried,Female,State-gov
98,27500,980,0,Doctorate,3,73,Married-AF-spouse,Greece,Protective-serv,0.4052815,Black,Unmarried,Male,State-gov
98,27500,980,0,Doctorate,3,73,Separated,Greece,Protective-serv,0.4509025,Black,Unmarried,Female,State-gov
98,27500,980,1,Doctorate,3,73,Separated,Greece,Protective-serv,0.637257,Black,Unmarried,Male,State-gov
99,22500,2940,0,10th,11,97,Married-AF-spouse,Haiti,Transport-moving,0.4867355,Other,Unmarried,Female,State-gov
99,22500,2940,1,10th,11,97,Married-AF-spouse,Haiti,Transport-moving,0.588261,Other,Unmarried,Male,State-gov
99,22500,3158,0,Doctorate,11,98,Married-AF-spouse,Columbia,Protective-serv,0.482726,Black,Unmarried,Female,State-gov
99,22500,3158,1,Doctorate,11,98,Married-AF-spouse,Columbia,Protective-serv,0.5109475,Black,Unmarried,Male,State-gov
90,22500,2286,0,Bachelors,1,89,Widowed,Portugal,Tech-support,0.3557665,White,Unmarried,Female,Private
90,22500,2286,1,Bachelors,1,89,Widowed,Portugal,Tech-support,0.5439725,White,Unmarried,Male,Private
90,22500,2504,0,Some-college,1,90,Widowed,France,Craft-repair,0.3572475,White,Unmarried,Female,Self-emp-not-inc
90,22500,2504,1,Some-college,1,90,Widowed,France,Craft-repair,0.5406815,White,Unmarried,Male,Self-emp-not-inc
91,22500,2722,0,HS-grad,2,91,Widowed,Laos,Sales,0.3677825,Asian-Pac-Islander,Unmarried,Female,Self-emp-not-inc
91,22500,2722,1,HS-grad,2,91,Widowed,Laos,Sales,0.537388,Asian-Pac-Islander,Unmarried,Male,Self-emp-not-inc
92,22500,2940,0,Prof-school,3,92,Married-spouse-absent,Taiwan,Exec-managerial,0.3783185,Asian-Pac-Islander,Unmarried,Female,Self-emp-inc
92,22500,2940,1,Prof-school,3,92,Married-spouse-absent,Taiwan,Exec-managerial,0.534096,Asian-Pac-Islander,Unmarried,Male,Self-emp-inc
93,22500,3158,0,Assoc-voc,3,93,Married-spouse-absent,Columbia,Prof-specialty,0.43927,Amer-Indian-Eskimo,Unmarried,Female,Self-emp-inc
93,22500,3158,1,Assoc-voc,3,93,Married-spouse-absent,Columbia,Prof-specialty,0.5308035,Amer-Indian-Eskimo,Unmarried,Male,Self-emp-inc
97,22500,2504,1,Prof-school,1,79,Married-spouse-absent,Thailand,Exec-managerial,1.9759215,Asian-Pac-Islander,Unmarried,Female,Self-emp-inc
97,22500,2504,0,Prof-school,1,79,Married-spouse-absent,Thailand,Exec-managerial,0.4724455,Asian-Pac-Islander,Unmarried,Male,Self-emp-inc
97,22500,2722,1,Assoc-voc,2,80,Married-spouse-absent,Yugoslavia,Prof-specialty,1.9734065,Amer-Indian-Eskimo,Unmarried,Female,Self-emp-inc
97,22500,2722,0,Assoc-voc,2,80,Married-spouse-absent,Yugoslavia,Prof-specialty,0.401562,Amer-Indian-Eskimo,Unmarried,Male,Self-emp-inc
98,22500,2722,1,7th-8th,2,82,Married-spouse-absent,El-Salvador,Machine-op-inspct,1.970892,Amer-Indian-Eskimo,Unmarried,Female,Federal-gov
98,22500,2722,0,7th-8th,2,82,Married-spouse-absent,El-Salvador,Machine-op-inspct,0.3405205,Amer-Indian-Eskimo,Unmarried,Male,Federal-gov
98,22500,2722,1,12th,2,83,Married-spouse-absent,El-Salvador,Adm-clerical,1.9688415,Amer-Indian-Eskimo,Unmarried,Female,Local-gov
98,22500,2722,0,12th,2,83,Married-spouse-absent,El-Salvador,Adm-clerical,0.3353665,Amer-Indian-Eskimo,Unmarried,Male,Local-gov
98,22500,2940,1,Masters,3,84,Married-spouse-absent,Trinadad&Tobago,Farming-fishing,1.969662,Other,Unmarried,Female,Local-gov
98,22500,2940,0,Masters,3,84,Married-spouse-absent,Trinadad&Tobago,Farming-fishing,0.3555915,Other,Unmarried,Male,Local-gov
99,22500,2940,1,10th,3,85,Married-AF-spouse,Peru,Transport-moving,1.9704825,Other,Unmarried,Female,State-gov
99,22500,2940,0,10th,3,85,Married-AF-spouse,Peru,Transport-moving,0.378096,Other,Unmarried,Male,State-gov
99,22500,3158,1,Doctorate,3,86,Married-AF-spouse,Hong,Protective-serv,1.971303,Black,Unmarried,Female,State-gov
99,22500,3158,0,Doctorate,3,86,Married-AF-spouse,Hong,Protective-serv,0.400601,Black,Unmarried,Male,State-gov
