job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,1,423,0,failure,0,0.496455,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,1,423,0,failure,1,0.503977,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4969,5,408,1,failure,0,0.497435,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4969,5,408,1,failure,1,0.519943,POSITIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4984,3,411,4,nonexistent,0,0.497658,NEGATIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4984,3,411,4,nonexistent,1,0.525445,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4865,5,407,0,failure,0,0.497403,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4865,5,407,0,failure,1,0.525727,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,1,415,0,failure,0,0.495732,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,1,415,0,failure,1,0.503267,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,8,391,0,failure,0,0.485401,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4965,8,391,0,failure,1,0.507398,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4938,8,377,1,failure,0,0.485195,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4938,8,377,1,failure,1,0.507221,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4891,8,377,1,failure,0,0.482824,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4891,8,377,1,failure,1,0.504847,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4969,5,393,1,failure,0,0.495311,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4969,5,393,1,failure,1,0.517491,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4946,5,392,1,failure,0,0.481076,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4946,5,392,1,failure,1,0.502651,POSITIVE
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4934,5,401,2,nonexistent,0,0.496373,NEGATIVE
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4934,5,401,2,nonexistent,1,0.519016,POSITIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4952,6,394,3,nonexistent,0,0.494290,NEGATIVE
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4952,6,394,3,nonexistent,1,0.516549,POSITIVE
services,married,illiterate,unknown,unknown,unknown,telephone,sep,fri,-1,4976,3,401,4,nonexistent,0,0.489722,NEGATIVE
