job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,345,1,failure,0,0.484006,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,345,1,failure,1,0.502536,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,28,337,0,failure,0,0.462373,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,28,337,0,failure,1,0.508845,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4946,26,338,2,nonexistent,0,0.485078,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4946,26,338,2,nonexistent,1,0.507496,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,26,340,4,nonexistent,0,0.482470,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,26,340,4,nonexistent,1,0.504886,POSITIVE
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4906,27,331,2,nonexistent,0,0.492573,NEGATIVE
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4906,27,331,2,nonexistent,1,0.539037,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4782,26,330,1,failure,0,0.492483,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4782,26,330,1,failure,1,0.514902,POSITIVE
retired,married,high.school,unknown,unknown,unknown,telephone,jul,thu,-1,4922,27,324,3,nonexistent,0,0.475866,NEGATIVE
retired,married,high.school,unknown,unknown,unknown,telephone,jul,thu,-1,4922,27,324,3,nonexistent,1,0.522377,POSITIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4937,27,317,4,nonexistent,0,0.459212,NEGATIVE
self-employed,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4937,27,317,4,nonexistent,1,0.505665,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4719,26,322,1,failure,0,0.479229,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4719,26,322,1,failure,1,0.525739,POSITIVE
housemaid,married,basic.9y,no,no,no,cellular,apr,wed,-2,4735,26,315,2,nonexistent,0,0.462562,NEGATIVE
housemaid,married,basic.9y,no,no,no,cellular,apr,wed,-2,4735,26,315,2,nonexistent,1,0.509035,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,26,313,0,failure,0,0.465916,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,26,313,0,failure,1,0.512404,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,30,298,0,failure,0,0.474323,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,30,298,0,failure,1,0.520833,POSITIVE
services,married,illiterate,unknown,unknown,unknown,telephone,sep,fri,-1,4953,28,307,4,nonexistent,0,0.461676,NEGATIVE
services,married,illiterate,unknown,unknown,unknown,telephone,sep,fri,-1,4953,28,307,4,nonexistent,1,0.508144,POSITIVE
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4750,27,303,2,nonexistent,0,0.484180,NEGATIVE
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4750,27,303,2,nonexistent,1,0.530681,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,30,282,0,failure,0,0.487480,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,30,282,0,failure,1,0.533970,POSITIVE
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4813,28,287,2,nonexistent,0,0.495017,NEGATIVE
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4813,28,287,2,nonexistent,1,0.541466,POSITIVE
technician,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4828,26,295,6,success,0,0.498333,NEGATIVE
technician,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4828,26,295,6,success,1,0.544757,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4626,26,307,1,failure,0,0.458546,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4626,26,307,1,failure,1,0.504994,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4540,26,306,0,failure,0,0.467361,NEGATIVE
