job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,14,274,0,failure,0,0.499703,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,14,274,0,failure,1,0.500172,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4898,9,262,4,nonexistent,0,0.499893,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4898,9,262,4,nonexistent,1,0.500029,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,8,258,0,failure,0,0.499954,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,8,258,0,failure,1,0.500090,POSITIVE
management,single,professional.course,unknown,unknown,unknown,telephone,mar,(null),0,4594,9,255,5,success,0,0.499901,NEGATIVE
management,single,professional.course,unknown,unknown,unknown,telephone,mar,(null),0,4594,9,255,5,success,1,0.500037,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,39,188,0,failure,0,0.492994,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,39,188,0,failure,1,0.504434,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,33,227,0,failure,0,0.499835,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,33,227,0,failure,1,0.502156,POSITIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,33,220,1,failure,0,0.497279,NEGATIVE
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,33,220,1,failure,1,0.505219,POSITIVE
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4868,30,223,2,nonexistent,0,0.497790,NEGATIVE
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4868,30,223,2,nonexistent,1,0.500111,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4696,26,219,0,failure,0,0.496400,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4696,26,219,0,failure,1,0.501884,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4712,28,221,2,nonexistent,0,0.498961,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4712,28,221,2,nonexistent,1,0.501282,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4852,33,204,0,failure,0,0.493665,NEGATIVE
