job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4962,45,352,0,failure,0,0.508767,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4962,45,352,0,failure,1,0.496741,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4930,40,344,0,failure,0,0.501108,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4930,40,344,0,failure,1,0.495236,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,45,344,0,failure,0,0.502354,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,45,344,0,failure,1,0.490324,NEGATIVE
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,45,340,4,nonexistent,0,0.504712,POSITIVE
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,45,340,4,nonexistent,1,0.492682,NEGATIVE
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4984,45,333,4,nonexistent,0,0.500592,POSITIVE
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4984,45,333,4,nonexistent,1,0.494719,NEGATIVE
management,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4942,44,332,3,nonexistent,0,0.501120,POSITIVE
management,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4942,44,332,3,nonexistent,1,0.495238,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,apr,mon,-3,4923,26,329,0,failure,0,0.505282,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,apr,mon,-3,4923,26,329,0,failure,1,0.499401,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4887,45,337,0,failure,0,0.503520,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4887,45,337,0,failure,1,0.491494,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,mar,wed,-2,4899,43,339,2,nonexistent,0,0.504839,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,mar,wed,-2,4899,43,339,2,nonexistent,1,0.492809,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4856,46,338,2,nonexistent,0,0.509718,POSITIVE
