status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A12,77,A31,A47,19995,A62,A72,2,A102,2,A122,0,A142,A152,2,A172,1,A191,A201,A91,-0.008817,NEGATIVE
A12,77,A31,A47,19995,A62,A72,2,A102,2,A122,1,A142,A152,2,A172,1,A191,A201,A91,0.044019,POSITIVE
A12,72,A31,A46,19994,A62,A72,1,A102,1,A122,0,A142,A152,1,A172,1,A191,A201,A91,-0.025740,NEGATIVE
A12,72,A31,A46,19994,A62,A72,1,A102,1,A122,1,A142,A152,1,A172,1,A191,A201,A91,0.027096,POSITIVE
A12,77,A31,A47,19985,A62,A72,2,A102,2,A122,0,A142,A152,2,A172,1,A191,A201,A91,-0.009020,NEGATIVE
A12,77,A31,A47,19985,A62,A72,2,A102,2,A122,1,A142,A152,2,A172,1,A191,A201,A91,0.043629,POSITIVE
A12,72,A31,A46,19984,A62,A72,1,A102,1,A122,0,A142,A152,1,A172,1,A191,A201,A91,-0.025938,NEGATIVE
A12,72,A31,A46,19984,A62,A72,1,A102,1,A122,1,A142,A152,1,A172,1,A191,A201,A91,0.027000,POSITIVE
A12,76,A31,A42,19996,A62,A72,2,A102,2,A122,0,A142,A152,2,A173,1,A192,A202,A92,-0.048813,NEGATIVE
A12,76,A31,A42,19996,A62,A72,2,A102,2,A122,1,A142,A152,2,A173,1,A192,A202,A92,0.004007,POSITIVE
A12,76,A31,A42,19987,A62,A72,2,A102,2,A122,0,A142,A152,2,A173,1,A192,A202,A92,-0.049046,NEGATIVE
A12,76,A31,A42,19987,A62,A72,2,A102,2,A122,1,A142,A152,2,A173,1,A192,A202,A92,0.003831,POSITIVE
A11,66,A30,A46,19993,A61,A71,1,A101,1,A121,0,A141,A151,1,A172,1,A191,A201,A91,-0.042632,NEGATIVE
A11,66,A30,A46,19993,A61,A71,1,A101,1,A121,1,A141,A151,1,A172,1,A191,A201,A91,0.010457,POSITIVE
A11,64,A30,A48,19997,A61,A71,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.047936,NEGATIVE
A11,64,A30,A48,19997,A61,A71,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.005034,POSITIVE
A11,64,A30,A48,19992,A61,A71,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.047960,NEGATIVE
A11,64,A30,A48,19992,A61,A71,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.004876,POSITIVE
A11,64,A30,A45,19997,A61,A71,1,A101,1,A121,0,A141,A151,1,A172,1,A191,A201,A91,-0.015689,NEGATIVE
A11,64,A30,A45,19997,A61,A71,1,A101,1,A121,1,A141,A151,1,A172,1,A191,A201,A91,0.037301,POSITIVE
A11,61,A30,A45,19997,A61,A71,1,A101,3,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.015784,NEGATIVE
A11,61,A30,A45,19997,A61,A71,1,A101,3,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.042956,POSITIVE
A11,64,A30,A45,19992,A61,A71,1,A101,1,A121,0,A141,A151,1,A172,1,A191,A201,A91,-0.015741,NEGATIVE
A11,64,A30,A45,19992,A61,A71,1,A101,1,A121,1,A141,A151,1,A172,1,A191,A201,A91,0.037076,POSITIVE
A11,61,A30,A45,19992,A61,A71,1,A101,3,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.015822,NEGATIVE
A11,61,A30,A45,19992,A61,A71,1,A101,3,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.042828,POSITIVE
A11,66,A30,A46,19983,A61,A71,1,A101,1,A121,0,A141,A151,1,A172,1,A191,A201,A91,-0.042695,NEGATIVE
A11,66,A30,A46,19983,A61,A71,1,A101,1,A121,1,A141,A151,1,A172,1,A191,A201,A91,0.010192,POSITIVE
A11,64,A30,A48,19987,A61,A71,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.048022,NEGATIVE
A11,64,A30,A48,19987,A61,A71,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.004821,POSITIVE
A11,64,A30,A45,19987,A61,A71,1,A101,1,A121,0,A141,A151,1,A172,1,A191,A201,A91,-0.015725,NEGATIVE
A11,64,A30,A45,19987,A61,A71,1,A101,1,A121,1,A141,A151,1,A172,1,A191,A201,A91,0.037155,POSITIVE
A11,61,A30,A45,19987,A61,A71,1,A101,3,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.016008,NEGATIVE
A11,61,A30,A45,19987,A61,A71,1,A101,3,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.042756,POSITIVE
A11,64,A30,A48,19982,A61,A71,1,A101,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.048170,NEGATIVE
A11,64,A30,A48,19982,A61,A71,1,A101,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.004752,POSITIVE
A11,64,A30,A45,19982,A61,A71,1,A101,1,A121,0,A141,A151,1,A172,1,A191,A201,A91,-0.015922,NEGATIVE
A11,64,A30,A45,19982,A61,A71,1,A101,1,A121,1,A141,A151,1,A172,1,A191,A201,A91,0.036946,POSITIVE
A11,61,A30,A45,19982,A61,A71,1,A101,3,A121,0,A141,A151,1,A171,1,A191,A201,A91,-0.016184,NEGATIVE
A11,61,A30,A45,19982,A61,A71,1,A101,3,A121,1,A141,A151,1,A171,1,A191,A201,A91,0.042493,POSITIVE
A12,68,A31,A42,19996,A62,A72,2,A102,2,A122,0,A142,A152,2,A173,1,A192,A202,A92,-0.006007,NEGATIVE
A12,68,A31,A42,19996,A62,A72,2,A102,2,A122,1,A142,A152,2,A173,1,A192,A202,A92,0.046969,POSITIVE
A12,62,A31,A42,19995,A62,A72,2,A102,2,A122,0,A142,A152,2,A172,1,A191,A201,A91,-0.015783,NEGATIVE
A12,62,A31,A42,19995,A62,A72,2,A102,2,A122,1,A142,A152,2,A172,1,A191,A201,A91,0.042724,POSITIVE
A12,68,A31,A42,19986,A62,A72,2,A102,2,A122,0,A142,A152,2,A173,1,A192,A202,A92,-0.006172,NEGATIVE
A12,68,A31,A42,19986,A62,A72,2,A102,2,A122,1,A142,A152,2,A173,1,A192,A202,A92,0.046854,POSITIVE
A12,62,A31,A42,19985,A62,A72,2,A102,2,A122,0,A142,A152,2,A172,1,A191,A201,A91,-0.016105,NEGATIVE
A12,62,A31,A42,19985,A62,A72,2,A102,2,A122,1,A142,A152,2,A172,1,A191,A201,A91,0.042405,POSITIVE
A12,77,A31,A47,19975,A62,A72,2,A102,2,A122,0,A142,A152,2,A172,1,A191,A201,A91,-0.009378,NEGATIVE
A12,77,A31,A47,19975,A62,A72,2,A102,2,A122,1,A142,A152,2,A172,1,A191,A201,A91,0.043478,POSITIVE
A12,72,A31,A46,19974,A62,A72,1,A102,1,A122,0,A142,A152,1,A172,1,A191,A201,A91,-0.026139,NEGATIVE
A12,72,A31,A46,19974,A62,A72,1,A102,1,A122,1,A142,A152,1,A172,1,A191,A201,A91,0.026651,POSITIVE
A12,76,A31,A42,19977,A62,A72,2,A102,2,A122,0,A142,A152,2,A173,1,A192,A202,A92,-0.049226,NEGATIVE
A12,76,A31,A42,19977,A62,A72,2,A102,2,A122,1,A142,A152,2,A173,1,A192,A202,A92,0.003777,POSITIVE
