CE_ID,PA,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
1,0,A13,74,A32,A49,15562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.141403,NEGATIVE
1,1,A13,74,A32,A49,15562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.001826,POSITIVE
2,0,A13,64,A32,A49,15562,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.131267,NEGATIVE
2,1,A13,64,A32,A49,15562,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.010699,POSITIVE
3,0,A13,64,A32,A49,15562,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.130804,NEGATIVE
3,1,A13,64,A32,A49,15562,A63,A73,1,A103,3,A123,1,A143,A153,3,A174,1,A192,A202,A92,0.011579,POSITIVE
4,0,A13,64,A32,A49,16187,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.113235,NEGATIVE
4,1,A13,64,A32,A49,16187,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.031163,POSITIVE
5,0,A13,68,A32,A48,15500,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.139220,NEGATIVE
5,1,A13,68,A32,A48,15500,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.003231,POSITIVE
6,0,A13,64,A32,A44,15562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.133400,NEGATIVE
6,1,A13,64,A32,A44,15562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.011894,POSITIVE
7,0,A13,64,A32,A49,15562,A63,A73,1,A103,3,A122,0,A142,A153,3,A174,1,A192,A202,A92,-0.132245,NEGATIVE
7,1,A13,64,A32,A49,15562,A63,A73,1,A103,3,A122,1,A142,A153,3,A174,1,A192,A202,A92,0.009722,POSITIVE
8,0,A13,64,A32,A49,15562,A63,A72,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.136672,NEGATIVE
8,1,A13,64,A32,A49,15562,A63,A72,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.005294,POSITIVE
9,0,A13,64,A31,A49,15562,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.139743,NEGATIVE
9,1,A13,64,A31,A49,15562,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.003284,POSITIVE
10,0,A13,54,A32,A48,18000,A63,A73,1,A103,3,A122,0,A143,A153,3,A173,1,A192,A202,A92,-0.146251,NEGATIVE
10,1,A13,54,A32,A48,18000,A63,A73,1,A103,3,A122,1,A143,A153,3,A173,1,A192,A202,A92,0.003314,POSITIVE
11,0,A13,44,A32,A49,19312,A63,A73,1,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.138591,NEGATIVE
11,1,A13,44,A32,A49,19312,A63,A73,1,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.011338,POSITIVE
12,0,A13,44,A32,A49,18062,A63,A73,3,A103,3,A122,0,A143,A153,3,A174,1,A192,A202,A92,-0.145499,NEGATIVE
12,1,A13,44,A32,A49,18062,A63,A73,3,A103,3,A122,1,A143,A153,3,A174,1,A192,A202,A92,0.001433,POSITIVE
13,0,A13,44,A32,A49,18062,A63,A73,1,A103,3,A123,0,A143,A153,3,A174,1,A192,A202,A92,-0.119278,NEGATIVE
