status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,output,decision
A12,66,A32,A48,19563,A63,A73,1,A103,1,A122,0,A142,A152,1,A173,1,A191,A202,A91,-0.064079,NEGATIVE
A12,66,A32,A48,19563,A63,A73,1,A103,1,A122,1,A142,A152,1,A173,1,A191,A202,A91,0.010765,POSITIVE
A11,64,A32,A48,18875,A63,A73,1,A103,1,A121,0,A141,A151,1,A173,1,A191,A202,A91,-0.043682,NEGATIVE
A11,64,A32,A48,18875,A63,A73,1,A103,1,A121,1,A141,A151,1,A173,1,A191,A202,A91,0.031263,POSITIVE
A12,70,A31,A49,19688,A63,A73,2,A103,2,A122,0,A142,A152,2,A174,1,A192,A202,A92,-0.066017,NEGATIVE
A12,70,A31,A49,19688,A63,A73,2,A103,2,A122,1,A142,A152,2,A174,1,A192,A202,A92,0.008966,POSITIVE
A12,68,A30,A48,19000,A63,A73,2,A103,2,A122,0,A142,A152,2,A173,1,A191,A202,A91,-0.053701,NEGATIVE
A12,68,A30,A48,19000,A63,A73,2,A103,2,A122,1,A142,A152,2,A173,1,A191,A202,A91,0.021313,POSITIVE
A12,72,A32,A49,19750,A63,A73,2,A103,2,A122,0,A142,A152,2,A174,1,A192,A201,A92,-0.057925,NEGATIVE
A12,72,A32,A49,19750,A63,A73,2,A103,2,A122,1,A142,A152,2,A174,1,A192,A201,A92,0.016945,POSITIVE
A12,70,A32,A49,19063,A63,A73,2,A103,2,A122,0,A142,A152,2,A174,1,A192,A201,A92,-0.037600,NEGATIVE
A12,70,A32,A49,19063,A63,A73,2,A103,2,A122,1,A142,A152,2,A174,1,A192,A201,A92,0.037234,POSITIVE
A13,76,A31,A49,19875,A63,A73,3,A103,3,A123,0,A143,A153,3,A174,1,A192,A201,A92,-0.035912,NEGATIVE
A13,76,A31,A49,19875,A63,A73,3,A103,3,A123,1,A143,A153,3,A174,1,A192,A201,A92,0.039051,POSITIVE
A12,74,A31,A49,19187,A63,A73,3,A103,3,A122,0,A142,A152,3,A174,1,A192,A201,A92,-0.023686,NEGATIVE
A12,74,A31,A49,19187,A63,A73,3,A103,3,A122,1,A142,A152,3,A174,1,A192,A201,A92,0.051167,POSITIVE
A12,72,A32,A49,19750,A62,A73,2,A103,2,A122,0,A142,A152,2,A174,1,A192,A202,A92,-0.009549,NEGATIVE
A12,72,A32,A49,19750,A62,A73,2,A103,2,A122,1,A142,A152,2,A174,1,A192,A202,A92,0.065307,POSITIVE
A12,68,A32,A48,19000,A61,A73,2,A103,2,A122,0,A142,A152,2,A173,1,A191,A202,A91,-0.065108,NEGATIVE
A12,68,A32,A48,19000,A61,A73,2,A103,2,A122,1,A142,A152,2,A173,1,A191,A202,A91,0.009886,POSITIVE
A12,74,A31,A49,19812,A62,A73,3,A103,3,A122,0,A142,A152,3,A174,1,A192,A202,A92,-0.045615,NEGATIVE
A12,74,A31,A49,19812,A62,A73,3,A103,3,A122,1,A142,A152,3,A174,1,A192,A202,A92,0.029176,POSITIVE
A12,72,A31,A49,19125,A62,A73,2,A103,2,A122,0,A142,A152,2,A174,1,A192,A202,A92,-0.041840,NEGATIVE
A12,72,A31,A49,19125,A62,A73,2,A103,2,A122,1,A142,A152,2,A174,1,A192,A202,A92,0.033054,POSITIVE
A13,76,A32,A49,19875,A62,A73,3,A103,3,A123,0,A143,A153,3,A174,1,A192,A201,A92,-0.044527,NEGATIVE
A13,76,A32,A49,19875,A62,A73,3,A103,3,A123,1,A143,A153,3,A174,1,A192,A201,A92,0.030476,POSITIVE
A12,74,A32,A49,19187,A62,A73,3,A103,3,A122,0,A142,A152,3,A174,1,A192,A201,A92,-0.033027,NEGATIVE
A12,74,A32,A49,19187,A62,A73,3,A103,3,A122,1,A142,A152,3,A174,1,A192,A201,A92,0.041950,POSITIVE
A13,78,A31,A49,19937,A62,A73,3,A103,3,A123,0,A143,A153,3,A174,1,A192,A201,A92,-0.064603,NEGATIVE
A13,78,A31,A49,19937,A62,A73,3,A103,3,A123,1,A143,A153,3,A174,1,A192,A201,A92,0.010247,POSITIVE
