age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,emp.var.rate,campaign,pdays,previous,poutcome,output,decision
0,unemployed,divorced,professional.course,no,no,yes,cellular,sep,fri,271,-2,42,224,0,nonexistent,0.6128944560123071,1
1,unemployed,divorced,professional.course,no,no,yes,cellular,sep,fri,271,-2,42,224,0,nonexistent,0.4803511710319028,0
1,student,single,basic.4y,yes,yes,no,cellular,apr,wed,1969,-2,2,340,0,nonexistent,0.6128944560123071,1
0,student,single,basic.4y,yes,yes,no,cellular,apr,wed,1969,-2,2,340,0,nonexistent,0.12137256189067362,0
0,technician,single,university.degree,no,yes,no,cellular,apr,thu,426,1,9,410,0,failure,0.6128944560123071,1
1,technician,single,university.degree,no,yes,no,cellular,apr,thu,426,1,9,410,0,failure,0.44873269873797245,0
0,technician,single,university.degree,no,yes,no,cellular,aug,thu,1910,0,10,299,0,success,0.5004235207021624,1
1,technician,single,university.degree,no,yes,no,cellular,aug,thu,1910,0,10,299,0,success,0.41274953264664166,0
1,student,divorced,university.degree,no,yes,yes,cellular,aug,wed,146,-2,12,289,7,success,0.4261912156447088,0
0,student,divorced,university.degree,no,yes,yes,cellular,aug,wed,146,-2,12,289,7,success,0.6119844967603648,1
0,unemployed,married,professional.course,yes,yes,no,cellular,sep,wed,1365,-2,5,245,6,failure,0.12129955947798424,0
1,unemployed,married,professional.course,yes,yes,no,cellular,sep,wed,1365,-2,5,245,6,failure,0.6128944560123071,1
1,unemployed,single,high.school,yes,yes,yes,telephone,apr,wed,4129,1,49,639,0,nonexistent,0.6128944560123071,1
0,unemployed,single,high.school,yes,yes,yes,telephone,apr,wed,4129,1,49,639,0,nonexistent,0.12136826508755223,0
1,student,divorced,basic.4y,no,yes,yes,cellular,jun,fri,4645,-1,22,792,0,nonexistent,0.6128944560123071,1
0,student,divorced,basic.4y,no,yes,yes,cellular,jun,fri,4645,-1,22,792,0,nonexistent,0.11697928272901904,0
0,admin.,married,illiterate,no,no,yes,telephone,jun,wed,350,-1,9,316,5,failure,0.4619210036479375,0
1,admin.,married,illiterate,no,no,yes,telephone,jun,wed,350,-1,9,316,5,failure,0.7249421995147736,1
0,unemployed,single,basic.9y,yes,no,no,telephone,dec,fri,109,-3,21,474,1,success,0.6128944560123071,1
1,unemployed,single,basic.9y,yes,no,no,telephone,dec,fri,109,-3,21,474,1,success,0.4258830107290522,0
1,student,married,university.degree,yes,yes,no,cellular,aug,thu,241,-3,31,770,0,success,0.468824290929864,0
0,student,married,university.degree,yes,yes,no,cellular,aug,thu,241,-3,31,770,0,success,0.5765203500443978,1
1,unemployed,divorced,professional.course,no,yes,yes,cellular,sep,mon,3076,0,41,490,2,success,0.6128944560123071,1
0,unemployed,divorced,professional.course,no,yes,yes,cellular,sep,mon,3076,0,41,490,2,success,0.14631225271036433,0
0,unemployed,single,basic.4y,yes,yes,no,telephone,apr,wed,620,1,40,6,0,failure,0.5876083702589819,1
1,unemployed,single,basic.4y,yes,yes,no,telephone,apr,wed,620,1,40,6,0,failure,0.499945640564179,0
0,unemployed,single,university.degree,yes,yes,yes,cellular,jun,mon,457,1,11,346,2,success,0.6128441676687179,1
1,unemployed,single,university.degree,yes,yes,yes,cellular,jun,mon,457,1,11,346,2,success,0.42616331655285455,0
1,technician,married,university.degree,no,yes,no,telephone,oct,fri,146,0,12,191,0,nonexistent,0.41375763277964267,0
0,technician,married,university.degree,no,yes,no,telephone,oct,fri,146,0,12,191,0,nonexistent,0.6128944560123071,1
1,retired,married,basic.4y,yes,no,no,telephone,apr,fri,1073,0,4,665,7,failure,0.7269383060195169,1
0,retired,married,basic.4y,yes,no,no,telephone,apr,fri,1073,0,4,665,7,failure,0.41398137113026257,0
