age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
100,Federal-gov,10th,1,Married-spouse-absent,Protective-serv,Unmarried,Other,Male,Asian-Pac-Islander,Asian-Pac-Islander,21,Canada,0.642194284505344,1
100,Federal-gov,10th,1,Married-spouse-absent,Protective-serv,Unmarried,Other,Female,Asian-Pac-Islander,Asian-Pac-Islander,21,Canada,0.49530460332550297,0
38,Without-pay,Preschool,11,Separated,Sales,Wife,White,Male,Asian-Pac-Islander,Amer-Indian-Eskimo,37,El-Salvador,0.5681446984097573,1
38,Without-pay,Preschool,11,Separated,Sales,Wife,White,Female,Asian-Pac-Islander,Amer-Indian-Eskimo,37,El-Salvador,0.4998177290043509,0
29,Federal-gov,HS-grad,1,Married-civ-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_17,63,South,0.5125610768178904,1
29,Federal-gov,HS-grad,1,Married-civ-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_17,63,South,0.4440461086829591,0
81,Local-gov,HS-grad,16,Widowed,Protective-serv,Wife,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_11,22,Ireland,0.49926918797083175,0
81,Local-gov,HS-grad,16,Widowed,Protective-serv,Wife,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_11,22,Ireland,0.6393064087095788,1
60,State-gov,10th,10,Married-spouse-absent,Transport-moving,Own-child,Black,Male,Amer-Indian-Eskimo,capital-loss_8,55,Columbia,0.6222624242228204,1
60,State-gov,10th,10,Married-spouse-absent,Transport-moving,Own-child,Black,Female,Amer-Indian-Eskimo,capital-loss_8,55,Columbia,0.4809795357781392,0
40,Federal-gov,10th,10,Married-civ-spouse,Protective-serv,Wife,Other,Female,Amer-Indian-Eskimo,capital-loss_10,11,Yugoslavia,0.45182598692195836,0
40,Federal-gov,10th,10,Married-civ-spouse,Protective-serv,Wife,Other,Male,Amer-Indian-Eskimo,capital-loss_10,11,Yugoslavia,0.5512001538743374,1
50,Federal-gov,Bachelors,16,Widowed,Priv-house-serv,Wife,Asian-Pac-Islander,Female,Amer-Indian-Eskimo,capital-loss_9,40,Honduras,0.37546553214667794,0
50,Federal-gov,Bachelors,16,Widowed,Priv-house-serv,Wife,Asian-Pac-Islander,Male,Amer-Indian-Eskimo,capital-loss_9,40,Honduras,0.5165662902476398,1
85,Without-pay,Doctorate,1,Widowed,Adm-clerical,Husband,White,Female,Asian-Pac-Islander,capital-loss_10,61,Yugoslavia,0.363158314898822,0
85,Without-pay,Doctorate,1,Widowed,Adm-clerical,Husband,White,Male,Asian-Pac-Islander,capital-loss_10,61,Yugoslavia,0.5033996177349414,1
49,Self-emp-not-inc,10th,7,Widowed,Transport-moving,Husband,White,Female,Asian-Pac-Islander,Amer-Indian-Eskimo,94,Vietnam,0.4994075897127861,0
49,Self-emp-not-inc,10th,7,Widowed,Transport-moving,Husband,White,Male,Asian-Pac-Islander,Amer-Indian-Eskimo,94,Vietnam,0.6394339474401598,1
40,Federal-gov,Bachelors,11,Widowed,Prof-specialty,Own-child,White,Female,Asian-Pac-Islander,capital-loss_10,11,Cambodia,0.4997214079191499,0
40,Federal-gov,Bachelors,11,Widowed,Prof-specialty,Own-child,White,Male,Asian-Pac-Islander,capital-loss_10,11,Cambodia,0.5680487599539789,1
40,State-gov,10th,9,Divorced,Transport-moving,Husband,White,Male,Asian-Pac-Islander,capital-loss_11,11,Yugoslavia,0.5080662523511376,1
40,State-gov,10th,9,Divorced,Transport-moving,Husband,White,Female,Asian-Pac-Islander,capital-loss_11,11,Yugoslavia,0.42267799933934214,0
