age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,prediction
20,Federal-gov,Assoc-acdm,2,Divorced,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,capital-loss_19,90,Yugoslavia,0.502770067722436,1
20,Federal-gov,Assoc-acdm,2,Divorced,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,capital-loss_19,90,Yugoslavia,0.3750004725754068,0
59,State-gov,Some-college,16,Widowed,Protective-serv,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_9,80,France,0.5080598465181012,1
59,State-gov,Some-college,16,Widowed,Protective-serv,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_9,80,France,0.4970909387298778,0
30,Without-pay,Some-college,11,Divorced,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,Amer-Indian-Eskimo,Amer-Indian-Eskimo,91,Vietnam,0.5769249649407846,1
30,Without-pay,Some-college,11,Divorced,Adm-clerical,Husband,Amer-Indian-Eskimo,Female,Amer-Indian-Eskimo,Amer-Indian-Eskimo,91,Vietnam,0.4435921822607829,0
100,Without-pay,10th,9,Never-married,Farming-fishing,Not-in-family,White,Male,capital-gain_19,Asian-Pac-Islander,23,Germany,0.5102325396083084,1
100,Without-pay,10th,9,Never-married,Farming-fishing,Not-in-family,White,Female,capital-gain_19,Asian-Pac-Islander,23,Germany,0.4897109194053878,0
30,Local-gov,Masters,16,Married-spouse-absent,Sales,Unmarried,White,Female,capital-gain_19,capital-loss_9,33,Cambodia,0.5662295640291417,1
30,Local-gov,Masters,16,Married-spouse-absent,Sales,Unmarried,White,Male,capital-gain_19,capital-loss_9,33,Cambodia,0.49555811050954013,0
62,Without-pay,5th-6th,10,Divorced,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,capital-gain_18,capital-loss_9,52,Haiti,0.5201186634054918,1
62,Without-pay,5th-6th,10,Divorced,Armed-Forces,Husband,Amer-Indian-Eskimo,Female,capital-gain_18,capital-loss_9,52,Haiti,0.4996035993929717,0
78,Self-emp-inc,Prof-school,4,Married-civ-spouse,Protective-serv,Wife,White,Female,Amer-Indian-Eskimo,capital-loss_6,72,Philippines,0.4911968269113167,0
78,Self-emp-inc,Prof-school,4,Married-civ-spouse,Protective-serv,Wife,White,Male,Amer-Indian-Eskimo,capital-loss_6,72,Philippines,0.5617488615720142,1
80,Without-pay,10th,13,Divorced,Priv-house-serv,Husband,White,Female,capital-gain_9,capital-loss_19,42,Yugoslavia,0.4857984544405957,0
80,Without-pay,10th,13,Divorced,Priv-house-serv,Husband,White,Male,capital-gain_9,capital-loss_19,42,Yugoslavia,0.5063198717180197,1
89,Federal-gov,Assoc-acdm,2,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Female,Amer-Indian-Eskimo,capital-loss_19,24,Greece,0.4943798465329979,0
89,Federal-gov,Assoc-acdm,2,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Male,Amer-Indian-Eskimo,capital-loss_19,24,Greece,0.5011516491074516,1
69,Federal-gov,Prof-school,16,Widowed,Protective-serv,Not-in-family,White,Female,Amer-Indian-Eskimo,Asian-Pac-Islander,89,Vietnam,0.4898272189578663,0
69,Federal-gov,Prof-school,16,Widowed,Protective-serv,Not-in-family,White,Male,Amer-Indian-Eskimo,Asian-Pac-Islander,89,Vietnam,0.5007959299517069,1
25,Without-pay,10th,15,Married-AF-spouse,Other-service,Husband,Black,Male,Amer-Indian-Eskimo,Amer-Indian-Eskimo,14,Philippines,0.5059505871628628,1
25,Without-pay,10th,15,Married-AF-spouse,Other-service,Husband,Black,Female,Amer-Indian-Eskimo,Amer-Indian-Eskimo,14,Philippines,0.37450125358309255,0
60,Federal-gov,Some-college,4,Married-AF-spouse,Prof-specialty,Husband,Other,Male,capital-gain_10,capital-loss_18,26,Taiwan,0.4846187798670502,0
