job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,output,decision
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3830,33,985,0,failure,0,-0.040179,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3830,33,985,0,failure,1,0.134284,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3751,33,969,0,failure,0,-0.016100,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3751,33,969,0,failure,1,0.158362,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3911,26,986,0,failure,0,-0.171958,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3911,26,986,0,failure,1,0.002596,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3923,26,971,0,failure,0,-0.122910,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3923,26,971,0,failure,1,0.051582,POSITIVE
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3766,30,987,1,failure,0,-0.160570,NEGATIVE
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3766,30,987,1,failure,1,0.013953,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,3782,30,974,1,failure,0,-0.047031,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,3782,30,974,1,failure,1,0.127462,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3833,26,970,0,failure,0,-0.161259,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3833,26,970,0,failure,1,0.013203,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,3794,28,986,0,failure,0,-0.039844,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,3794,28,986,0,failure,1,0.134618,POSITIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,3802,26,989,2,nonexistent,0,-0.083859,NEGATIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,3802,26,989,2,nonexistent,1,0.090603,POSITIVE
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,3802,28,989,2,nonexistent,0,-0.128028,NEGATIVE
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,3802,28,989,2,nonexistent,1,0.046434,POSITIVE
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3810,26,992,3,nonexistent,0,-0.171878,NEGATIVE
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3810,26,992,3,nonexistent,1,0.002584,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3853,28,989,2,nonexistent,0,-0.115135,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3853,28,989,2,nonexistent,1,0.059389,POSITIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3868,27,992,3,nonexistent,0,-0.127667,NEGATIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3868,27,992,3,nonexistent,1,0.046796,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,3845,26,971,1,failure,0,-0.115646,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,3845,26,971,1,failure,1,0.058816,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,3853,26,973,2,nonexistent,0,-0.016050,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,3853,26,973,2,nonexistent,1,0.158412,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,3797,27,993,4,nonexistent,0,-0.000255,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,3797,27,993,4,nonexistent,1,0.174237,POSITIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3774,28,973,2,nonexistent,0,-0.060594,NEGATIVE
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3774,28,973,2,nonexistent,1,0.113929,POSITIVE
blue-collar,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,3790,26,976,3,nonexistent,0,-0.119706,NEGATIVE
blue-collar,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,3790,26,976,3,nonexistent,1,0.054756,POSITIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3790,27,976,3,nonexistent,0,-0.052924,NEGATIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3790,27,976,3,nonexistent,1,0.121538,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3758,26,955,0,failure,0,-0.126967,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3758,26,955,0,failure,1,0.047495,POSITIVE
housemaid,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3830,26,954,0,failure,0,-0.059643,NEGATIVE
housemaid,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3830,26,954,0,failure,1,0.114819,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3766,28,956,1,failure,0,-0.038963,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3766,28,956,1,failure,1,0.135561,POSITIVE
housemaid,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3751,26,938,0,failure,0,-0.035448,NEGATIVE
housemaid,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3751,26,938,0,failure,1,0.139014,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4689,1,985,0,failure,0,-0.172549,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4689,1,985,0,failure,1,0.001877,POSITIVE
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4391,8,987,1,failure,0,-0.161157,NEGATIVE
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4391,8,987,1,failure,1,0.013244,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4455,11,985,0,failure,0,-0.040790,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4455,11,985,0,failure,1,0.133611,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4470,8,987,1,failure,0,-0.066921,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4470,8,987,1,failure,1,0.107480,POSITIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4391,8,974,1,failure,0,-0.085358,NEGATIVE
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4391,8,974,1,failure,1,0.089043,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,5,985,0,failure,0,-0.150826,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,5,985,0,failure,1,0.023666,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4540,5,986,0,failure,0,-0.048090,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4540,5,986,0,failure,1,0.126311,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4579,5,987,1,failure,0,-0.152713,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4579,5,987,1,failure,1,0.021713,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4618,1,986,0,failure,0,-0.085694,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4618,1,986,0,failure,1,0.088761,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,3,985,0,failure,0,-0.106597,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,3,985,0,failure,1,0.067804,POSITIVE
services,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4540,1,987,1,failure,0,-0.150460,NEGATIVE
services,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4540,1,987,1,failure,1,0.023972,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4540,1,970,0,failure,0,-0.075092,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4540,1,970,0,failure,1,0.099309,POSITIVE
blue-collar,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4571,1,992,3,nonexistent,0,-0.006366,NEGATIVE
blue-collar,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4571,1,992,3,nonexistent,1,0.168150,POSITIVE
blue-collar,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4571,3,992,3,nonexistent,0,-0.050480,NEGATIVE
blue-collar,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4571,3,992,3,nonexistent,1,0.123945,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4579,1,993,4,nonexistent,0,-0.105591,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4579,1,993,4,nonexistent,1,0.068834,POSITIVE
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4540,1,970,0,failure,0,-0.168495,NEGATIVE
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4540,1,970,0,failure,1,0.005906,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,1,954,0,failure,0,-0.049263,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,1,954,0,failure,1,0.125199,POSITIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,3,954,0,failure,0,-0.093395,NEGATIVE
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,3,954,0,failure,1,0.081067,POSITIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4548,1,956,1,failure,0,-0.172606,NEGATIVE
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4548,1,956,1,failure,1,0.001826,POSITIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4455,5,969,0,failure,0,-0.152862,NEGATIVE
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4455,5,969,0,failure,1,0.021570,POSITIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,4387,5,989,2,nonexistent,0,-0.012139,NEGATIVE
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,4387,5,989,2,nonexistent,1,0.162262,POSITIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4419,5,969,0,failure,0,-0.061354,NEGATIVE
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4419,5,969,0,failure,1,0.113047,POSITIVE
entrepreneur,married,basic.9y,no,no,no,cellular,may,wed,-2,4438,5,980,2,nonexistent,0,-0.078689,NEGATIVE
entrepreneur,married,basic.9y,no,no,no,cellular,may,wed,-2,4438,5,980,2,nonexistent,1,0.095712,POSITIVE
services,married,basic.9y,no,no,no,cellular,apr,wed,-2,4478,1,977,2,nonexistent,0,-0.047558,NEGATIVE
services,married,basic.9y,no,no,no,cellular,apr,wed,-2,4478,1,977,2,nonexistent,1,0.126843,POSITIVE
student,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4422,2,993,4,nonexistent,0,-0.046819,NEGATIVE
student,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4422,2,993,4,nonexistent,1,0.127582,POSITIVE
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4415,2,976,3,nonexistent,0,-0.141891,NEGATIVE
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4415,2,976,3,nonexistent,1,0.032602,POSITIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4493,3,992,3,nonexistent,0,-0.084262,NEGATIVE
housemaid,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4493,3,992,3,nonexistent,1,0.090170,POSITIVE
management,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4501,1,993,4,nonexistent,0,-0.013011,NEGATIVE
management,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4501,1,993,4,nonexistent,1,0.161396,POSITIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4508,3,994,4,nonexistent,0,-0.014748,NEGATIVE
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4508,3,994,4,nonexistent,1,0.159678,POSITIVE
